id,date,os,topic,email_provider,antivirus,userchrome
1409751,2023-04-01,❓;,🚧;fix-problems,❓;,❓;,❓;
1409754,2023-04-01,🪟;Windows 10,🔩;customize,📮;Gmail,❓;,❓;
1409756,2023-04-01,❓;,🔏;privacy-and-security,❓;,❓;,❓;
1409757,2023-04-01,🪟;Windows 10,🚧;fix-problems,❓;,❓;,❓;
1409759,2023-04-01,❓;,👽;other,❓;,❓;,❓;
1409760,2023-04-01,❓;,👽;other,❓;,❓;,❓;
1409762,2023-04-01,❓;,📅;calendar,❓;,❓;,❓;
1409768,2023-04-01,❓;,🚧;fix-problems,❓;,❓;,❓;
1409771,2023-04-01,❓;,👽;other,❓;,❓;,❓;
1409773,2023-04-01,❓;,📅;calendar,❓;,❓;,❓;
1409783,2023-04-01,❓;,👽;other,📮;gmail,Ⓜ;McAfee,❓;
1409787,2023-04-01,❓;,🔩;customize,❓;,❓;,❓;
1409791,2023-04-01,❓;,🔩;customize,❓;,❓;,❓;
1409792,2023-04-01,❓;,🚧;fix-problems,📮;Gmail,❓;,❓;
1409794,2023-04-01,🪟;windows-10,🔩;customize,❓;,❓;,❓;
1409796,2023-04-01,❓;,👽;other,❓;,❓;,❓;
1409804,2023-04-01,🪟;Windows 10,👽;other,❓;,❓;,❓;
1409807,2023-04-01,❓;,🚧;fix-problems,❓;,❓;,❓;
