id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1410854,2023-04-15,should I migrate to new OS AND update TB at the same time? I'm running an old 32 bit version (60.6.1) of Thunderbird on a Windows 10 pc and I want to migrate to,🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-04-14 19:49:16 -0700
1410857,2023-04-15,Thunderbird email reply window Thunderbird 102.10.0 installed yesterday. When I click on Reply icon the new window is not visible. When I hover over the Thunder,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-14 22:45:28 -0700
1410860,2023-04-15,"il mio account di posta thunderbird è bloccato non sappiamo perché --RIMOSSO--@gmail.com non ricevo la posta sul mio account dal 13 aprile ore 19.24, uso la mai",❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-14 23:23:50 -0700
1410869,2023-04-15,"Some tasks disappear regularly Are disappearing tasks a common problem? How would i access a sheet to see if they are stored, but not showing on the Thunderbird",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-04-15 03:03:56 -0700
1410874,2023-04-15,Inoltro mail senza allegati e caratteri strani Buongorno a tutti da qualche giorno la posta elettronica non mi inoltra più gli allegati Sono costretta a scarica,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-15 03:47:43 -0700
1410880,2023-04-15,"Thunderbird not reading MacOS address book After upgrading to MacOS 13.0 Ventura and Thunderbird 102.9.1, Thunderbird no longer recognizes the contacts in my Ma",🍎;Ventura;os:macos,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 05:44:03 -0700
1410881,2023-04-15,"Yahoo Authentication doesn't work for @yahoo.fr I'm trying to help someone use thunderbird with their @yahoo.fr account. Normal password doesn't work, same for ",❓;;os:unknown,👽;other;t:other,🇾;Yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 05:50:31 -0700
1410887,2023-04-15,"Relocate Events/Calendar Panel Hi!  I'm exploring going back to using a standalone email client rather than a web based client, and have always had a soft spot ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-15 06:59:00 -0700
1410890,2023-04-15,Email account on web host will not work in Thunderbird but works in MS Outlook I want to use Thunderbird as my default email client on my new Windows laptop. I',❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 07:48:04 -0700
1410900,2023-04-15,How do I send messages? I need to send messages. ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-15 09:32:42 -0700
1410901,2023-04-15,Mozilla community support forum How do I find Mozilla community support forum? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 09:35:38 -0700
1410902,2023-04-15,How do I get rid of the conversation lines? I want to be able to get rid of the annoying lines in replies...   see pic attached -  thanks ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 09:41:57 -0700
1410909,2023-04-15,"Thunderbird Profile Corruption My Thunderbird email inbox keeps getting corrupted, stuff I know 100% is there goes invisible.  Easy to repair, but happens over ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🅰;AVG;av:avast,❓;;uc:unknown,fix-problems;,2023-04-15 11:03:53 -0700
1410914,2023-04-15,sync office365 mail How can I synchronize folders to the Office365 mail account using Thunderbird with Owl for Exchange addon? I have  Thunderbird 102.10.0 on F,❓;;os:unknown,👽;other;t:other,💌;office365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 12:25:39 -0700
1410915,2023-04-15,"AWS WorkMail Email Alias Within AWS WorkMail, I've created an email alias that I can use using their web based email client. I can't seem to get this to work on",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-15 12:36:50 -0700
1410920,2023-04-15,"Trying to retrieve local folders in my email Try as I might, I cannot seem to understand the exact procedure for retrieving my local folders. Folders I've creat",🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-15 13:23:37 -0700
