id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1411180,2023-04-19,Why Am I get So Many Duplicate Emails In One Account? I recently had a similar issue but only on one email account. My Hotmail. I just clear out over 900 emails,❓;;os:unknown,👽;other;t:other,💌;Hotmail;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-18 17:10:19 -0700
1411181,2023-04-19,receiving emails issue This may be about migration but I'm not sure what that is exactly. I exchanged one email address with another on my service provider Spec,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;Spectrum;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-04-18 17:17:45 -0700
1411190,2023-04-19,photos sent to my thunderbird email won't open Any photos sent to my email do not arrive the way they used to.  Now they only try to open with Windows Photo Vie,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,customize;,2023-04-18 20:00:19 -0700
1411192,2023-04-19,In the last days Thunderbird keeps downloading duplicate copies of messages previously downloaded Thunderbird keeps downloading duplicate copies of messages pre,❓;;os:unknown,👽;other;t:other,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-18 20:34:05 -0700
1411198,2023-04-19,New and adding to contact lists I have a contact list with 31 names in it. I went to add one more name to the contact list today (TBird V102.10.0 - 64 bit) and ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-18 22:12:29 -0700
1411201,2023-04-19,Mails with different subject are grouped wrongly under same threaded I have some mailed are grouped wrongly under a threaded. Is there any setting can configure,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-18 23:19:22 -0700
1411207,2023-04-19,Reading Thunderbird archive files So I have set up Thunderbird to include a Local Folder on my hard drive on which I copy email folders I want to archive safely,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 01:00:29 -0700
1411208,2023-04-19,"How to change expiration date of gpg keys Hi, I need help changing the expiration date of my gpg keys (TB 102.10). I already extended the date on the command li",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-19 01:09:41 -0700
1411210,2023-04-19,"Problém při odesílání emailu Dobrý den, Potýkám se s problém, když odesílám email tak mi naskočí normálně klasické okno odesílání zprávy, jenže to se zasekne a ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-19 01:18:34 -0700
1411211,2023-04-19,"Recupero mail cestinate e poi cancellate su MacOs Buongiorno Signori, purtroppo ho cestinato e cancellato dal cestino delle mail importanti. Lavoro su MacOs e n",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-19 01:32:49 -0700
1411212,2023-04-19,"FLOOD PROTECTION Hello, how is possibile turn off ""flood protectio"" table? ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-19 01:40:30 -0700
1411213,2023-04-19,"Email send process Hi, I have added Outlook as a new email client as I had to change from Waitrose. Some Outlook messages send absolutely fine others try to sen",❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 01:56:04 -0700
1411217,2023-04-19,ELIMINATE ELIMINATE GRAZIE ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 02:43:56 -0700
1411220,2023-04-19,searching for friends who have multiple addresses Many of the people I correspond with have several different email addresses. Is there a way in Thunderbird to ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 02:57:29 -0700
1411221,2023-04-19,"Repaired inbox folder on IMAP account and recent messages disappeared Some messages in the inbox folder were showing as blank pages, so I clicked “Repair folder",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-19 03:00:37 -0700
1411224,2023-04-19,"New GMAIL accounts can't be added to Thunderbird Hello I have been trying this for a while now, I originally thought it was just myself not being able to unders",🐧;linux;os:linux,👽;other;t:other,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 03:43:19 -0700
1411225,2023-04-19,HTML İMZA Html ile imza hazırladım ama içinde bulunan resimler karşı tarafa mail gittiğinde görünmüyor. ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-19 04:05:49 -0700
1411227,2023-04-19,donatiion to mozilla-thunderbird i [edited] @bigpond.com on the 19/04/2023 donated $90 / i made a mistake it was a 1 only donation not monthly / could you pleas,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 04:30:34 -0700
1411229,2023-04-19,"old and deleted emails reappear as new messages Old and deleted messages keep reappearing in my inbox as new, unread messages. I delete them and they come back ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 04:41:34 -0700
1411232,2023-04-19,"Thunderbird Bom dia Como importar meu arquivo .pst na versao 102.10? Tentei incluir a extensão ImportExport Tools mas, não é compativel. Só tenho o arquivo .pst",❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-04-19 04:43:48 -0700
1411233,2023-04-19,"Notifications do not disappear from the notification center upon email being read Hello, when a new email arrives, I get a notification which stays in the notif",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-19 04:49:15 -0700
1411234,2023-04-19,Ben şifremi tek sefer yapıcam düzenleyemiyorum gibi şeyler olduğunu bilmiyordum Ana parolamı bulamıyorum lütfen yardım edermisiniz 1 hafta dır uğraşıyorum ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-19 04:59:17 -0700
1411237,2023-04-19,"Thunderbird Tentei usar a orientação ""Como mover um perfil - Ocasionalmente, você pode querer mover um perfil ou dizer ao Thunderbird para usar um perfil armaze",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-19 06:09:21 -0700
1411239,2023-04-19,"Importing an old ""INBOX"" file, from the app data folder, to my Gmail account, using Thunderbird I have an INBOX file (no file extension) that I want to be impor",🐧;Linux;os:linux,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 06:26:38 -0700
1411244,2023-04-19,"local folder tree I can't see all my local folders, can't see my ""out box"" I know the folders are there, I think some how I need to reload the tree or have it r",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 07:13:54 -0700
1411247,2023-04-19,"email login to server smtp braxmail.net failed using tommiesalami, it was working fine until 3 days ago. any advice is greatly appreciated ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-19 07:29:50 -0700
1411253,2023-04-19,"View->message body as->plain text not working, still shows html I select plain text but my emails are still showing the html as parsed/graphics. For security HT",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-19 08:10:44 -0700
