id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1415520,2023-06-10,"Authentication error with Yahoo mail (one account fine, another not) Similar to an earlier post (https://support.mozilla.org/en-US/questions/1398079), I have be",🐧;Ubuntu;os:linux,👽;other;t:other,🇾;Yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-09 18:38:08 -0700
1415523,2023-06-10,"can't send or get email When I click on theThunderbird icon to check my email, it says “Enter your password for ricc (the first part of my email) on imap shaw.c",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-09 20:22:27 -0700
1415524,2023-06-10,"Imported mail message folders corrupted TB 102.10.0, Outlook 2010: Imported mail message (local) folders: At least one folder is incorrectly indexed (dozens of ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;Gmail;m:gmail,🇪;eset;av:eset,❓;;uc:unknown,download-and-install_1;,2023-06-09 20:39:24 -0700
1415535,2023-06-10,"Thunderbird migration from Mac to PC not working Hello, I have read the relevant support articles, nevertheless when I try to move Thunderbird from my Mac to my",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-10 04:34:17 -0700
1415536,2023-06-10,"I can't download in Thunderbird (102). The message I get is: ""The STAT command did not succeed. Error getting message number and sizes. Mail server outlook.offi",❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-10 05:21:22 -0700
1415538,2023-06-10,"Recuperação de Conta Comercial Prezados, bom dia! Gostaria de saber como posso fazer para recuperar os e-mails da caixa de entrada de um usuário, após efetuar o",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-10 06:39:27 -0700
1415540,2023-06-10,"I need to copy my TBird address book from my desktop PC to my laptop. I have TBird v102.12.0 64-bit on my Windows 10 Pro 64-bit desktop PC, and I am aiming to d",🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-10 06:52:33 -0700
1415542,2023-06-10,Issues connecting Thunderbird to Office 365 accounts using POP3 and OAuth2 authentication I have recently encountered issues connecting Thunderbird to several o,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-10 07:05:27 -0700
1415543,2023-06-10,"Problemas al conectar Thunderbird a cuentas de Office 365 utilizando POP3 y autenticación OAuth2 Hola, Recientemente he encontrado problemas al conectar Thunder",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-10 07:10:41 -0700
1415548,2023-06-10,Thunderbird Proton Mail eset AV Re: Thunderbird - Proton Mail - eset  -  problem: “Cannot connect to Server 127.0.0.1. The connection was refused” I found a wor,❓;;os:unknown,👽;other;t:other,📨;proton.me;m:protonmail,🇪;eset;av:eset,❓;;uc:unknown,other;,2023-06-10 07:41:45 -0700
1415550,2023-06-10,"Using Thunderbird as default Contact app in Windows Hello Is there any way to replace ""People"" or ""Mail & Calendar"" as the default application for contacts in W",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-10 08:11:37 -0700
1415551,2023-06-10,"Suddenly can't log in to Microsoft/Office365 email server with TB I'm still able to access my email, which is hosted by Microsoft, using their online Outlook po",🪟;Windows 10;os:win10,👽;other;t:other,💌;Office365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-10 08:42:09 -0700
1415552,2023-06-10,Integrating Gmail with Thunderbird I cannot complete the integration of my working Gmail account with an established Thunderbird (V.102 in Win10 on PC). It may ,🪟;Win10;os:win10,🛠;download-and-install;t:download_and_install,📮;Gmail;m:gmail,🇪;eset;av:eset,❓;;uc:unknown,download-and-install_1;,2023-06-10 08:50:05 -0700
1415554,2023-06-10,"Accessing Thunderbird Folders in Gmail I use thunderbird via IMAP to gmail. For the routine folders, INBOX, SPAM, etc they are visible both. I also have a numbe",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-10 09:29:05 -0700
1415557,2023-06-10,Passwords not saved TB 102.12.0 Win10 22H2 19045.2965 I have two accounts that doesn't use the account password on startup.  On the 10 min interval checks it no,🪟;Win10;os:win10,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-10 10:37:15 -0700
1415558,2023-06-10,Disconnected from outlook.office 365.com I have a problem with outlook.office365.com (see attached). Please help to know what is going on and whether I can repa,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-10 10:45:55 -0700
1415562,2023-06-10,Upgrade to TG 102 prevents contacts from syncing I have been using the TBsync add-on for quite some time without any problems but when I finally allowed TB to u,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-10 11:40:58 -0700
1415570,2023-06-10,"TB 102.10.0 with Gmail--Don't see ""All Mail"" folder under Archiving I'm trying to set up a new Profile of TB (using 102.10.0). The Help  (  https://support.mozi",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,🇪;eset;av:eset,❓;;uc:unknown,other;,2023-06-10 16:29:15 -0700
