id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1416645,2023-06-24,"Message sort setting is randomly forgotten I always set all my accounts to View > Sort by > Order Received (Ascending, Threaded). Periodically, I find that the ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,other;,2023-06-23 17:54:12 -0700
1416648,2023-06-24,How to remove empty spaces (gap) on the lest side of some columns? Please suggest how to remove the empty spaces that I marked in the screenshot. Especially con,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-23 20:02:06 -0700
1416663,2023-06-24,"Thunderbird Mail we are unable to send mail via using thunderbird , server which we are using that's office365 account and configured on thunderbird. the curren",❓;;os:unknown,👽;other;t:other,💌;office365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 01:50:30 -0700
1416664,2023-06-24,"IMAP Office365 stopped working: ""User is authenticated but not connected"" Hello, All of a sudden, this morning, my Thunderbird (102.12.0) will not sync my Offic",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;Gmail;m:gmail,🇰;Kaspersky;av:kaspersky,❓;;uc:unknown,privacy-and-security_1;,2023-06-24 02:33:06 -0700
1416665,2023-06-24,"Select Messages Feature Across the top where it can show ""From,"" ""Account,"" ""Date,"" ""Subject,"" etc., I have ""Select Messages.""  When I put a check in the box of",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-24 02:38:57 -0700
1416667,2023-06-24,Can't login I've been unable to use Thunderbird since I had SSD fitted to my laptop. I have tried everything suggested on this site but to no avail. I have aske,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-24 02:55:50 -0700
1416670,2023-06-24,"Delete an unwanted IMAP account. I want to delete an unwanted IMAP account. How can I do this, please? ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 05:09:40 -0700
1416673,2023-06-24,"Thunderbird issues I have been using Thunderbird on my laptop and home PC for years.  I did a routine Thunderbird update on my Win 10 laptop, after which two Of",🪟;Win 10;os:win10,👽;other;t:other,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 07:04:20 -0700
1416676,2023-06-24,My thunder email Hello I paid aka donation of$10.00 to get a new email with thunder yet the sight is having me use my gmail and not a new thunder email. ,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 08:04:03 -0700
1416683,2023-06-24,"Can I recover auto-saved Draft emails lost in a TBird crash I think my issue relates to the difference between ""Save this message to Drafts folder"" that happens",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 09:26:16 -0700
1416688,2023-06-24,Thunderbird no MAC Tenho um MACBOOK PRO com o sistema OSX YOSEMITE 10.10.5. Não consegui instalar o Thunderbird. Poderiam me auxiliar? ,🍎;OSX;os:macos,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-24 10:45:11 -0700
1416701,2023-06-24,"multiple copies of emails I have used thunderbird for years. I accumulated 15000 emails , but looking back I find there are 3 and 4 copies of the same received ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-24 16:50:04 -0700
