id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1419687,2023-07-30,"Filtri non funzionanti Buon giorno a tutti, sono nuovo del gruppo anche se utilizzo Thunderbird da un decennio. Da un pò di tempo non vengono applicati i filtri",❓;;os:unknown,🚧;fix-problems;t:fix_problems,🇾;YAHOO;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-29 17:03:13 -0700
1419689,2023-07-30,"Messaggi cancellati dopo lettura Buongiorno a tutti, sono nuovo del gruppo ma utilizzo da molto tempo Thunderbird. Ho un problema su alcune  cartelle in cui smi",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-29 17:20:13 -0700
1419692,2023-07-30,How to send OpenPGP encrypted email contents as binary instead of ASCII armor I noticed that using OpenPGP encryption in Thunderbird results in the encrypted em,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-07-29 18:00:07 -0700
1419693,2023-07-30,"new ISP and wondering how to set up email I have used Thunderbird for 12+ years. Now that we have AT&T as our new ISP, I have learned that AT&T doesn't provide ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-29 18:24:45 -0700
1419696,2023-07-30,"Thunderbird takes minutes to close when setting enabled in server settings: 'Message Storage - Clean up (""Expunge"")'  Thunderbird 115.0.1 (64-bit) W10 Today I w",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇲;Malwarebytes;av:malwarebytes,❓;;uc:unknown,fix-problems;,2023-07-29 20:41:12 -0700
1419700,2023-07-30,"Missing my Local Folder sub-folders and emails My laptop recently crashed and as a result of this I had to uninstall Thunderbird as when I tried to open it, it ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-29 21:41:07 -0700
1419707,2023-07-30,Thunderbird (115.0.1) not completing SMTP protocol fails to send Quit after 250 Ok from server I have just upgraded to Thunderbird 115.0.1 and e-mail are not be,❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-30 01:10:30 -0700
1419711,2023-07-30,"DELETED THUNDERBIRD APP BY MISTAKE - URGENT (please...) I use a MacBook Pro v. 10.15.7 (Catalina), and I live in the UK. I am going to upgrade my old MacBook Pr",🍎;Catalina;os:macos,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-30 02:26:12 -0700
1419716,2023-07-30,The email address you are sending as must match the email address you used to auth. Please check your SMTP settings. AUP#Out-1500. Please verify that your email,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 03:58:25 -0700
1419717,2023-07-30,Having authentication problem with thunderbird when it tries to get office 365 outlook email.  It says it has a problem but not how to fix it.  I use OAuth2. Ha,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-30 04:18:15 -0700
1419719,2023-07-30,"Attachments not showing on top of other windows Up until recently when I clicked on an attached image, whether in a message I'm composing or one I've received, ",🪟;Windows 10;os:win10,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-07-30 04:35:30 -0700
1419721,2023-07-30,"Messages will not open after clicking them in Win-10 notification area. Greetings, New incoming message alerts show up in the Win-10’s notification area, as usu",🪟;Win-10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 06:46:08 -0700
1419725,2023-07-30,need to add email in thunderbird need to add email in thunderbird ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 08:02:07 -0700
1419727,2023-07-30,Need to add new email in thunderbird Beed new account in thunderbird ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 08:20:23 -0700
1419736,2023-07-30,Thunderbird Emails I had Thunderbird on my old laptop which I just replaced. I need the Thunderbird emails moved to this new laptop. ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-30 10:48:12 -0700
1419737,2023-07-30,"allegati non spediti buona sera,  quando eseguo il comando ""inoltra"" per un mail che contiene un allegato, l'allegato non viene inoltrato ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,🇩;defender;av:defender,❓;;uc:unknown,other;,2023-07-30 10:50:10 -0700
1419740,2023-07-30,Email Thunderbird not working. Not receiving emails. ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 12:15:17 -0700
1419746,2023-07-30,I'm not able to tag email when email is being viewed since new update I'm not able to tag email when email is being viewed since new update. If I want to tag th,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 13:13:05 -0700
1419748,2023-07-30,"Thunderbird nem működik Harmadszor kérek segítséget! Nem mutatja a program a beérkezett üzeneteket, kérem segítsenek! csorimari@t-online.hu ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-30 13:48:31 -0700
1419754,2023-07-30,"I think I am experiencing a Phishing attack I have been getting messages to up date Thunderbird.  The first 3 were last week, and appeared to be in Chinese.  To",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-30 16:46:52 -0700
