id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422041,2023-08-24,"Mail fails to send ""Authentication required"" in Thunderbird 115.1.1 (64 Bit) I I can receive mail but cannot send. I had no problems until ver. 115 was installe",🪟;windows-10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,desktop;other;windows-10;firefox-1160;,2023-08-23 18:24:59 -0700
1422043,2023-08-24,"Remove ""All Mail"" folder I just added TBird 115.1.1, added to a new Windows 10 PC.  5 accounts, 2 gmail, 2 hotmail, 1 live. One of the gmails has a folder ""All ",🪟;Windows 10;os:win10,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-23 18:54:10 -0700
1422045,2023-08-24,New message indicator not showing for nested folders Hi I'm running Thunderbird 115.1.1 (64-Bit) on Windows 11 Home Vsn 22H2 build 22621.2215 I have nested mail,🪟;Windows 11;os:win11,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-23 20:46:28 -0700
1422053,2023-08-24,Deleted mails cannot be found In my Finnish version of Thunderbird I may have accidentally deleted ”Roskakori” folder (roskakori = trash). When I delete mails f,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 01:33:23 -0700
1422055,2023-08-24,In mijn postvak in Thunderbird is de kolom onderwerp verdwenen. Hoe kan ik die kolom terug krijgen? In mijn postvak in Thunderbird is de kolom onderwerp verdwen,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 01:43:47 -0700
1422058,2023-08-24,"Unified folder start with last message Hello, I just learned about ""unified folders"" and it's nice to have a single Inbox for all my different mail accounts. Bu",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 02:39:28 -0700
1422060,2023-08-24,"When and how can I install the Chinese language pack in Thunderbird Daily 118 I have compiled and run Thunderbird on linux, but the Chinese characters are garbl",🐧;linux;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 02:45:35 -0700
1422061,2023-08-24,"Usar calendario de RoundCube Mail Hola comunidad !! Es la primera vez que solicitamos ayuda, hasta ahora siempre hemos podido resolver todos los ""problemillas"" ",🐧;Linux;os:linux,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-24 03:39:14 -0700
1422062,2023-08-24,Since upgrade to 115 can no longer send Outlook emails I have upgraded to Thunderbird 115. Since then I no longer can send emails from my Outlook accounts! I ha,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 04:37:47 -0700
1422063,2023-08-24,"ZASEKANÝ THUNDERBIRD. Zdravím, Thunderbird používám již nějaký ten rok, ale poslední měsíc teda utrpení. Je pomalý, zobrazené emaily se mi sami znovu ukazují ja",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 04:51:20 -0700
1422065,2023-08-24,Thunderbird opens malware/yahoo window in Thunderbird when checking mail Recently two new items appeared while on Thunderbird. 1. A pop up to login into my Yaho,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,🇾;yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-24 05:52:59 -0700
1422067,2023-08-24,Unable to write the email to the mailbox I cannot get new messages.  I get an error: Unable to write the email to the mailbox. Make sure the file system allows ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 06:10:48 -0700
1422070,2023-08-24,"Behaviour of Thunderbird filters Hi, Using Thunderbird 102.14.0 (64-bit) on Linux Mind 20.4 Cinnamon. I made a message filter to copy all the technical news bri",🐧;Linux;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 06:36:29 -0700
1422071,2023-08-24,"Address autocollection Hi everyone! Please explain how to disable autocollection of addresses I received e-mails from? By default, Thunderbird collects e-mail a",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 06:57:49 -0700
