id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422116,2023-08-25,Authenticating to Outlook O365 with PIV card I'm trying to set up Thunderbird as a client for outlook O365. We use PIV cards for authentication. When I try to a,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-24 18:03:09 -0700
1422119,2023-08-25,Thunderbird V 115 Hello I am a longstanding Thunderbird user When will i be updated to your Supernova version 115? Thank you David ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 18:16:51 -0700
1422122,2023-08-25,"Go (""Jump"") to Past Date Is there a hidden key command to select and go to a past date? Thunderbird Calendar is my diary... from 2009. ",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-24 19:10:33 -0700
1422123,2023-08-25,"imap.gmail.com error I have just created and tried to connect a new gmail address required by my job.  However, although all the settings are exactly like my ot",❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 19:52:28 -0700
1422125,2023-08-25,"Transfering TB data to new computer I am having a real hard time transfering Thunderbird data to my new computer operating on Windows 11.  I am now seeing ""Clie",🪟;Windows 11;os:win11,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-24 20:20:50 -0700
1422129,2023-08-25,Profile transfer  -  new comnputer can not get email. I transferred my THUNDERBIRD (TB) profile from a Win 7(32bit) - to a Win 10 (64b). The new install can not,🪟;Win 7;os:win7,🛠;download-and-install;t:download_and_install,🇾;att.net;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-24 23:51:49 -0700
1422135,2023-08-25,how to configure a yahoo account I'm running Thunderbird 102.14.0 (6 bit) I'm trying to configure a Yahoo account (Which I have working on my Android phone).  T,❓;;os:unknown,👽;other;t:other,🇾;yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-25 02:35:15 -0700
1422136,2023-08-25,"New Mail Badges in Windows 10 - TB 115.1.1 (32-bit) Hi, I have recenty noticed I get new email count on the icon in the windows task bar. This appers to be  new",🪟;Windows 10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-25 03:07:56 -0700
1422137,2023-08-25,Opening Inbox takes forever when TB starts up or Mac resumes after the PC is suspended (eg MacBook lid is closed) OS: Mac 13.5 (22G74) PC: MacBook Pro (Intel) T,❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-25 03:17:38 -0700
1422140,2023-08-25,"Convert email to calender missing Dear all, we have recently upgrade to 115.1.1.  Now we noticed that the option to convert emails to calender entry is gone. Pr",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-25 03:46:33 -0700
1422144,2023-08-25,"Thunderbird 115 tags : colorize background instead of text Hi all, what described here [https://support.mozilla.org/en-US/que.../1270814] worked fine until TB 1",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,🪛;userChrome;uc:unsupported_customization,customize;,2023-08-25 05:26:32 -0700
