id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422270,2023-08-27,How to see whether message is flagged in Outlook? https://discourse.mozilla.org/t/how-to-see-whether-message-is-flagged-in-outlook/122164?u=rokejulianlockhart.r,❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-26 20:52:30 -0700
1422273,2023-08-27,Quick filter isn't working correctly Why is it that I am not able to search for this email when using an exact phrase that is in the email body?  The normal sea,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-26 22:06:41 -0700
1422274,2023-08-27,"Mancato invio dei messaggi a caselle gmail.com Buongiorno, come riportato in oggetto da circa 3 mesi non mi è possibile invare mail a destinatari gmail.com tram",❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-26 23:51:54 -0700
1422279,2023-08-27,"Small problem with Image insertion in a message je viens d'installer la dernière version de Thunderbird. Lorsque j'essaaie d'insére une image dans un message, l",❓;;os:unknown,🔩;customize;t:customize,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-27 02:55:02 -0700
1422282,2023-08-27,iCloud email . Why won't iCloud email work on Thunderbird? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-27 03:59:50 -0700
1422292,2023-08-27,"How to Exclude Unread/New Badge from GMail ""All Mail"" It seems that my Thunderbird installation is showing duplicate unread/new badges. It is showing on both th",❓;;os:unknown,🔩;customize;t:customize,📮;GMail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-27 07:19:52 -0700
1422298,2023-08-27,"Any way to increase the margins in emails within the preview pane? Hello, I'm looking to see if anyone can help me increase the margin size in any text emails t",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-27 09:25:45 -0700
1422299,2023-08-27,Cannot get TB to display remote content no matter what I do None of the options to show remote content was working.  For a long time but I didn't need it that o,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,🇩;Defender;av:defender,❓;;uc:unknown,privacy-and-security_1;,2023-08-27 10:07:06 -0700
1422300,2023-08-27,"Disable threads in Thunderbird 115.1.1 None of the advice on turning off threads in Thunderbird seems to apply to Version 115.1.1, as there is no such menu sett",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-27 10:19:56 -0700
1422308,2023-08-27,Thunderbird password TB isn’t accepting my new password. I need detailed step-by-step assistance. ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-27 13:26:54 -0700
1422309,2023-08-27,"Intermittent email list display issue after delete Thunderbird 115.1.1: If I sort emails by sender (click on From) and then click on an email and delete it, the",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-27 13:28:09 -0700
1422315,2023-08-27,"posta inviata doppia con Outlook Salve,  in Thunderbird 102.14.0 quando invio una email con Outlook, vengono archiviate due copie della stessa email in ""posta i",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-27 15:21:11 -0700
1422317,2023-08-27,Every time a site sends me a confirmation or authentication code at sign-in it never appears in my inbox. I have tried several different sites that I have accou,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-27 16:16:33 -0700
