id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags
1429610,2023-11-01,Thunderbird 115 message sort headings get corrupted when closed In v115 I have selected View | Sort By | Grouped by sort. This displays my messages in date orde,❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429615,2023-11-01,"Thunderbird email question Before the latest update, as I open Thunderbird, each folder was set to the latest email in the list. Now it goes to a random email m",❓;,👽;other,❓;,❓;,❓;,other;
1429616,2023-11-01,Repeated crashes  [@ OOM | small ] on trying to open Thunderbird. I'd really appreciate any help you can give me. I've been using Thunderbird for many years. TB,❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429622,2023-11-01,delete message on TBird but keep it on server On Windows 10 I'm using Thunderbird with a Juno email account (POP.Juno.com). I want to delete messages in Thunder,🪟;Windows 10,👽;other,❓;,❓;,❓;,other;
1429623,2023-11-01,"Thunderbird scrolls quickly after deleting any email After the most recent update, when I delete any message in Thunderbird it quickly scrolls, often to another",❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;tb115scroll;
1429631,2023-11-01,"Unable to save email attachment After installing Thunderbird version 115.4.1 under WIN 10, email attachments cannot be saved. Also, my colleague's computer cann",❓;,👽;other,❓;,❓;,❓;,other;
1429633,2023-11-01,"Uspořádání zpráv podle data a příznaku přečtení - pozice posuvné lišty vpravo Dobrý den, po přechodu na verzi Supernova se změnilo chování Thunderbirdu. Zobrazu",❓;,🔩;customize,❓;,❓;,❓;,customize;
1429634,2023-11-01,mail messages to new laptop fails I've been using Thunderbird since day one. And took my messages and profile to any new laptop. However I have been busy for ho,❓;,👽;other,❓;,❓;,❓;,other;
1429637,2023-11-01,Thunderbird : Bullet list  and numbered list not working - exit email edit and save draft - edit email again and it works! Bullet list  and numbered list not wo,❓;,👽;other,❓;,❓;,❓;,other;
1429638,2023-11-01,Calendar events and tasks suddenly gone I have several calendars with many events and tasks in each. All but one calendar (birthdays) are suddenly missing all e,🐧;Linux,📅;calendar,❓;,❓;,❓;,calendar;
1429639,2023-11-01,"Email ""sent folder"" Thunderbird seems to struggle or fails to copy a sent message to this folder due some ...problem Is this a bug?  How can I fix? ",❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429640,2023-11-01,"I have difficulty finding the mail ""Inbox folder"" It doesnt or rarely opens automatically say after sending or reading a message Is there a recommended method o",❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429644,2023-11-01,"Version 115.4.1 Apple MacMini running Sonoma 14.1 You keep changing stuff and I can no longer edit my address book, it's even complicated to find where it is no",🍎;Sonoma,👽;other,❓;,❓;,❓;,other;
1429645,2023-11-01,"Email reception issue I have been using Thunderbird for years and upgrading it as instructed. I have several e-mail accounts. As of yesterday (Nov.1), there is ",❓;,🚧;fix-problems,📮;gmail,❓;,❓;,fix-problems;
1429648,2023-11-01,"How do I sort my inbox and sent items by size to delete big emails? I got Thunderbird to better manage my vast number of emails and frankly delete the big ones,",❓;,👽;other,❓;,❓;,❓;,other;
1429649,2023-11-01,"Configuring a default *task* calendar When adding a new task, Thunderbird almost always suggests a wrong calendar. And sometimes I end up creating TODO notes in",❓;,📅;calendar,❓;,❓;,❓;,calendar;
1429650,2023-11-01,"replies do not include the recipient address nor the sender topic and content. WTF have you done to Thuderbird with this latest update,  it is completely useles",❓;,👽;other,❓;,❓;,❓;,other;
1429652,2023-11-01,ipage emails Thunderbird has logged me out of all my ipage email accounts and no matter what I do it does not recognise them anymore. Does anyone know what I sh,❓;,🛠;download-and-install,❓;,❓;,❓;,download-and-install_1;
1429653,2023-11-01,GIVE ME THE OLD THUNDERBIRD BACK!  THIS NEW ONE IS HORRIBLE.  IF YOU ARE CRUEL TO US THEN BACK AT YOU! tHIS UNTESTED NEW VERSION IS HORRIBLE!  IT IS NOT BETTER ,❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429655,2023-11-01,Thunderbird not syncing messages from Gmail IMAP Setting up the Thunderbird after installing and making a donation. Disappointed to find version 115.4.1 will no,❓;,👽;other,📮;Gmail,❓;,❓;,other;
1429658,2023-11-01,ThuderBird keeps making desktop shortcuts ThunderBird keeps making desktop shortcuts even after I delete them. Some time after updating to ThunderBird 115 the a,🪟;windows 10,👽;other,❓;,❓;,❓;,other;
