id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430033,2023-11-05,"Download I have not been able to download my Earthlink email from Firefox since September 1st. Thunderbird appears to be loading the emails, but nothing is adde",❓;,🛠;download-and-install,❓;,❓;,❓;
1430040,2023-11-05,"Come Esportare Mail e Cartelle da Thunderbird 68.10 ? Su di un pc ho installato Thunderbird 68.10, un solo profilo (hotmail), voglio trasferire su di un altro p",❓;,🛠;download-and-install,❓;,❓;,❓;
1430042,2023-11-05,"""Not Junk"" not working This started when I received an email that spoofed my own email address and I marked it ""Junk"".  The problem is that I send myself emails",🪟;Win 11,🔏;privacy-and-security,❓;,❓;,❓;
1430045,2023-11-05,Attempting to revert from Tbunderbird 115.4.1 to 52.9.1 I took a backup image of my C:\ Drive. My profile folder is on F:\users\tanya\profiles. My mail folder i,❓;,🔩;customize,❓;,❓;,❓;
1430050,2023-11-05,"Folders do not return to last email Hi,  since the last update it seems, when I flip between folders, the latest emails are not always shown.  I think the best ",❓;,👽;other,❓;,❓;,❓;
1430052,2023-11-05,"unread msg : how to make bold the ""sender"" only Hi! I'm trying to tweak my userChrome.css file. Here is what I'd like to do : - for all unread messages in the t",❓;,🔩;customize,❓;,❓;,🪛;userChrome
1430054,2023-11-05,Empfang von EMails Ich bekomme seit einiger Zeit in meinen eingegangenen EMails eine Zeile wie z.B. Nachrichten-ID  <fe5ce40c1053121698dfbe78bbd2f85d@swift.gene,❓;,👽;other,❓;,❓;,❓;
1430055,2023-11-05,Can deleted emails be recovered? I am a business customer Hi Can deleted emails be recovered? I am a business customer Is it possible to recover deleted emails?,❓;,👽;other,❓;,❓;,❓;
1430060,2023-11-05,Importare una rubrica da un'altra installazione thunderbird su un altro pc Avrei necessità di importare la sola rubrica da una installazione thunderbirdi 115 co,🪟;windows 11,🛠;download-and-install,❓;,❓;,❓;
1430063,2023-11-05,Re: Thunderbird launches/opens a new browser window on startup When I open Thunderbird it automatically launches the default browser or opens a new broswer wind,❓;,🚧;fix-problems,❓;,❓;,❓;
1430065,2023-11-05,How to get Thunderbird to list emails on one line per email. I just update Thunderbird to 115.4.1 and now it uses two lines for each email in the list. This sig,❓;,👽;other,❓;,❓;,❓;
1430066,2023-11-05,"Latest upgrade I hope you didn't intend it, but what on earth have you done in the most recent Thunderbird ""update""? Almost every day I delete an email from my ",❓;,👽;other,❓;,🇪;eset,❓;
1430068,2023-11-05,"Program crashes Hello, I'm using Thunderbird (and before Netscape Messenger) already 30 years. With this new version 115.4.1 (32-Bit) I'm now experiencing now s",❓;,🚧;fix-problems,❓;,❓;,❓;
1430069,2023-11-05,"Navigation when reopening mailboxes Hello, I'm using Thunderbird (and before Netscape Messenger) already 30 years. With this new version 115.4.1 (32-Bit) I'm no",❓;,🚧;fix-problems,❓;,❓;,❓;
1430071,2023-11-05,Master Password I had setup a master password.  I forgot it ...now I can sign in to Thunderbird.  I have two accounts... [edited] @gmail.com                    ,❓;,🔏;privacy-and-security,📮;gmail,❓;,❓;
1430073,2023-11-05,"Selecting ""from"" address when composing When composing an email and attempting to select an address from the 3 email accounts I use in Thunderbird, I am having ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430074,2023-11-05,user interfase why user interfase is so big and font size too. ,❓;,🔩;customize,❓;,❓;,❓;
1430075,2023-11-05,"Mozilla Thunderbird settings Hello, I have recently installed an updated version of Mozilla Thunderbird as my old account kept telling me that my settings were ",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430076,2023-11-05,"Mozilla Thunderbird settings Hello, I have recently installed an updated version of Mozilla Thunderbird as my old account kept telling me that my settings were ",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430079,2023-11-05,"Thunderbird 115.4.1 failing to post to usenet then deleting the saved draft When using Thunderbird 115.4.1 to post a Followup on usenet, e.g. in comp.lang.awk, ",❓;,👽;other,❓;,❓;,❓;
1430081,2023-11-05,emails downloading Downloading of junk emails every day there is over 1000 to 2000 junk emails in the inbox. In all languages.. Can you delete this email? this ,❓;,👽;other,❓;,❓;,❓;
1430083,2023-11-05,"can't send emails after last update After loading the latest update, I can't send emails. Spamhaus is blocking them. this is an example of the error message... ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430087,2023-11-05,"Posta elettronica bloccata Posta elettronica bloccata da 1 mese su pc Windows 7, controllate le porte Yahoo pop e imap sono corrette (da Yahoo nessun problema d",🪟;Windows 7,👽;other,🇾;Yahoo,❓;,❓;
1430088,2023-11-05,Thunderbird is automatically moving messages form inbox to trash In the past few weeks I have noticed that when I bring my PC out of the sleep mode by hitting t,❓;,👽;other,❓;,❓;,❓;
1430089,2023-11-05,thunderbird not functioning as it should The page layout and functionality has changed. I keep getting a message about imap! I have not made any changes to anyt,❓;,🚧;fix-problems,❓;,❓;,❓;
1430090,2023-11-05,"Best practice for including images in an HTML email footer BACKGROUND""  Ive setup Thunderbird to use a locally hosted (via dropbbox) HTML file for footers.  Thi",❓;,👽;other,❓;,❓;,❓;
1430092,2023-11-05,Secure message storage on Mac M1 Is it possible to move the location my emails are stored to a encrypted disc image and have Thunderbird use that location? Just,❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430096,2023-11-05,New version display issues Used Thunderbird for years. No issues. Following upgrade to current version: 1. Usually opens multiple email tabs 2. Most current ema,❓;,👽;other,❓;,❓;,❓;
