id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430112,2023-11-06,Undismissable calendar reminders (birthdays) Question (Windows): I have a reminder pop-up for past birthdays from my calendar (synced from a self-hosted Yunohos,❓;,📅;calendar,❓;,❓;,❓;
1430113,2023-11-06,"Set up Mozilla as default mail client to use on web sites that say ""click here to leave message"" When I am on a web site most of the time there is a link used t",❓;,👽;other,❓;,❓;,❓;
1430117,2023-11-06,Win10 Thunderbird continues to hang - Often getting Non Responsive and crashes.  8 gmail accounts I have been using Thunderbird for quite some time and over the,🍎;OSx,🚧;fix-problems,📮;gmail,🇪;eset,❓;
1430119,2023-11-06,Screen focus not consistent between mailboxes/users. We are running Thunderbird 115 and encountering an annoying issue. We run two separate mailboxes and always,❓;,👽;other,❓;,❓;,❓;
1430120,2023-11-06,Random enabling of 'Threading' We are running Thunderbird 115 and encountering an annoying issue. Somehow 'threading' keeps getting activated randomly. It is no,❓;,👽;other,❓;,❓;,❓;
1430122,2023-11-06,year_display in the inbox the year is not showing as 2023 its showing as 2566. i am using the laptop in asia but i like to see the date as 2023 ,❓;,👽;other,❓;,❓;,❓;
1430129,2023-11-06,"Message window moves when I delete a message Since the new update, when I delete a message, the message ""window"" scrolls and I have to scroll back to where I wa",❓;,👽;other,❓;,❓;,❓;
1430135,2023-11-06,Mass Emails As the Secretary of a sporting club I regularly have to send out mass notifications to around 100 members. I usually have no problems selecting the ,❓;,👽;other,❓;,❓;,❓;
1430137,2023-11-06,"Delete Messages on client and leave it on the IMAP server Hi, I'm missing the the possibility to delete Messages on one of my clients and leave it on the server",❓;,🔩;customize,❓;,❓;,❓;
1430138,2023-11-06,I cannot see my inboxes as there are too many message tabs at the top. How can I stop these tabs apopearing? I cannot see my inboxes as there are too many messa,❓;,🔩;customize,❓;,❓;,❓;
1430139,2023-11-06,"Mail delle cartelle archivio 2013/2023 sparite Buongiorno, purtroppo ho un problema serio con thunderbird, mi sono accorto da alcuni giorni che le le mail archi",❓;,🚧;fix-problems,💌;outlook,❓;,❓;
1430140,2023-11-06,"Slow and freezes after the new update 115.4.1 (win10) Hello,  as soon as TB Thunderbird was auto updated to the new version 115.4.1 (64-bit) 2 weeks ago, it kee",🪟;win10,🚧;fix-problems,💌;Outlook,❓;,❓;
1430145,2023-11-06,"Come creare scorciatoia per scaricare solo i messaggi di un determinato account Salve, uso Thunderbird per monitorare le mie caselle di posta e avrei bisogno di",❓;,🔩;customize,❓;,❓;,❓;
1430146,2023-11-06,After upgrade from Thunderbird 102.15.1 to Thunderbird 115.4.1the traditional view changed and all of my inbox folder disappeared. I would like to restore the t,❓;,🛠;download-and-install,❓;,❓;,❓;
1430150,2023-11-06,"Thunderbird: Emails threaded incorrectly Emails with different subjects are getting threaded together. For example, in the attached snapshot, why are the emails",🪟;windows-11,👽;other,❓;,❓;,❓;
1430151,2023-11-06,cannot send email cannot send email on thunderbird email jgregory@onvol.net ,❓;,👽;other,❓;,❓;,❓;
1430154,2023-11-06,"Formtting outgoing emails Where are the bold print, italics, buttons to send emails on the latest version of Thunderbird. I can't find them anywhwere ",❓;,🔩;customize,❓;,❓;,❓;
1430159,2023-11-06,Mozillan tilarivit Miten saan sähköpostit näkymään niin että (luen siis alhaalta viimeiset) sivun alareunassa olisi ainakin yksi tyhjä sarake? ,❓;,🔩;customize,❓;,❓;,❓;
1430160,2023-11-06,"When I change the name in an address book entry, it doesn't get reflected in the message display I had an address book entry that had an incorrect name in the N",❓;,👽;other,❓;,❓;,❓;
1430161,2023-11-06,remove version 115 then replace with version 102 I had version 102:15:1 up and running after I had new terrible version 115 removed. Now during an update TB/Moz,❓;,🛠;download-and-install,❓;,❓;,❓;
1430162,2023-11-06,"Turn off Messages as list or thread Thunderbird displays messages as a long list. It never did that before an update, and now  I  can not find out how to turn t",🪟;windows-10,👽;other,❓;,❓;,❓;
1430165,2023-11-06,"Incoming Messages are being grouped as summaries All of a sudden I am getting grouped, summarized inbox messages for several email groups I read. I checked to m",🪟;Windows 10,👽;other,❓;,❓;,❓;
1430169,2023-11-06,"Vector logo Hi,  I'm trying to make a new footer for my company.  Is it possible to attach vector logo in it?  If so, could you tell me how to do that step by s",❓;,🔩;customize,❓;,❓;,❓;
1430170,2023-11-06,Email folder accidentally deleted I deleted the folder containing several emails several days ago. Is it possible to recover the folder? Thank you ,❓;,👽;other,❓;,❓;,❓;
1430171,2023-11-06,"Seeing previous questions How can I see my previous questions?  Isn't there some sort of ""my questions"" page? ",❓;,👽;other,❓;,❓;,❓;
1430173,2023-11-06,Filter order changing after quitting Thunderbird I have been getting flooded with a spam blackmail/extortion scheme that has a particular subject line. Although,❓;,🔩;customize,❓;,❓;,❓;
1430176,2023-11-06,"Our email is blocked when trying to send messages. Kun yritän lähettää viestiä, tulee virheilmoitus. Katso kuva alla. Miten toimin? ",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430183,2023-11-06,"disappearance of Folders and emails, just randomly For the past few months Thunderbird has had some of my Folders I want deleted not deleting, just a faint trac",❓;,👽;other,❓;,❓;,❓;
1430184,2023-11-06,"Delete message not working I have the trash column added to my unified view, but when I click it, the message doesn't actually go to the trash,  sometimes after",❓;,🔩;customize,❓;,❓;,❓;
1430187,2023-11-06,install fails authentication Setup repeatedly fails signing in ,❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430190,2023-11-06,Thunderbird Default smtp I have 4 accounts in Thunderbird all with both incoming and outgoing servers set up and under account management they should all be usi,❓;,👽;other,❓;,❓;,❓;
1430191,2023-11-06,"Gmail doesn't load in Thunderbird I may have had this answered, but my email issues prevented me from seeing any answer. I use Thunderbird with my gmail account",❓;,🚧;fix-problems,📮;Gmail,❓;,❓;
