id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430750,2023-11-12,"I messed up Thuderbird, can't import old profiles etc I desperately (sobbing here) need someone to hold my hand and walk me through this!!! I uninstalled the ne",🪟;Windows 10,🛠;download-and-install,❓;,🅰;AVG,❓;
1430751,2023-11-12,Marking a message as Junk deletes it but does not move to teh newxt message Recently upgraded to Thunderbird 115.4.2 I have it set that when I delete a message ,❓;,🔩;customize,❓;,❓;,❓;
1430752,2023-11-12,"Thunderbird has developed a mind of it's own re trash, spam and junk determination In the last couple of weeks Thunderbird started dumping normal emails I regul",❓;,🚧;fix-problems,❓;,❓;,❓;
1430753,2023-11-12,"Thunderbird lost passwords for att.net accounts so I can't send or receive emails This started two days ago and I've been searching the web for solutions, but a",❓;,🚧;fix-problems,🇾;att.net,❓;,❓;
1430756,2023-11-12,"no longer downloading emails Hello.  I've been using Thunderbird now for, oh, I don't even know how many years, a long time, currently version 102.15.1 (64-bit)",❓;,👽;other,🇾;yahoo,❓;,❓;
1430761,2023-11-12,"US thunderbird calendar from mozilla site Hello, having problems importing an USA calendar from Thunderbird site.  Just need a basic one with federal holidays b",❓;,🚧;fix-problems,❓;,❓;,❓;
1430762,2023-11-12,"Cannot know in which folder an email is in card view Hello, I changed to card view, but I don't have my columns anymore which had the folder and account info of",❓;,👽;other,❓;,❓;,❓;
1430764,2023-11-12,"Junkmail stopped working after latest update of Thunderbird Hi  I updated Thunderbird a few weeks ago. I did not change anything, just updated the software afte",❓;,👽;other,❓;,❓;,❓;
1430766,2023-11-12,Thunderbird changes subject titles Since my Thunderbird (on Windows 10) automatically upgraded itself to 'Supernova'  (now at 115.4.2) I've noticed sometimes bu,🪟;Windows 10,👽;other,❓;,❓;,❓;
1430768,2023-11-12,All folders expanding by standard Newbie here. Appears all folders (in the left panel) open all the way by standard. How do I configure it so only parent folder,❓;,🔩;customize,❓;,❓;,❓;
1430770,2023-11-12,Email not deleted on server When I delete a message permanently from the recycle bin it don't disappear from the server (and my mail account overflow). This sta,❓;,👽;other,❓;,❓;,❓;
1430778,2023-11-12,"Multiple gmail tags as multiple conversations in different folders in Thunderbird on IMAP Hello everyone, I have recently downloaded and installed Thunderbird 3",❓;,🛠;download-and-install,📮;gmail,❓;,❓;
1430779,2023-11-12,"Thunderbird can't show emails My thunderbird becomes show blank page after a upgrade weeks ago, so far I tried reset the extension, reset the profile manager, e",❓;,🚧;fix-problems,❓;,🇪;eset,❓;
1430782,2023-11-12,"Thunderbird Error: Platform version ""115.3.1"" is not compatible with minVersion >= 115.4.0 Two days ago T-bird offered an update and this error message popped u",🪟;Windows 10,👽;other,❓;,❓;,❓;
1430785,2023-11-12,Failed to open email account: Sending of username did not succeed. Mailserver pop3.mail.dk replied: invalid command I keep getting the following error message w,❓;,🚧;fix-problems,❓;,❓;,❓;
1430786,2023-11-12,userchrome css to move NOT JUNK button to left of yellow bar Is it possible to move the NOT JUNK button in the yellow bar from the right side to the left side u,❓;,🔩;customize,❓;,❓;,🪛;userchrome
1430787,2023-11-12,"Thunderbird Emails. Good evening. Thunderbird updated today (12 November 2023). It has re-arranged my Local folders, splitting contents randomly into two Local ",❓;,👽;other,❓;,❓;,❓;
1430789,2023-11-12,Where did all my emails go? I have been using Thunderbird for years with no problems. But this morning I opened it up and I'm getting the 'set up account' page ,❓;,👽;other,❓;,❓;,❓;
1430790,2023-11-12,"Remove the Desktop icon Hello, Every time i remove the desktop icon, it re-appear... How to remove it definitively ? ",🪟;windows 11,👽;other,❓;,🇧;Bitdefender,❓;
1430800,2023-11-12,"underline option/choice/feature doesn't work Windows 10 pro, TB version 115.3.2,  tried to underline a word when writing an email, cursor moved to front of the ",🪟;Windows 10,🚧;fix-problems,❓;,❓;,❓;
1430801,2023-11-12,"Group Email Accounts into Folders? I have a lot of IMAP Email accounts. They all show up a very long list in ""All Folders"". Is it possible to group the accounts",❓;,🔩;customize,📮;Gmail,❓;,❓;
1430804,2023-11-12,"Server timed out message Get message that  ""The message could not be sent because the connection to Outgoing server (SMTP) mobile.charter.net timed out  when se",❓;,🚧;fix-problems,❓;,❓;,❓;
1430805,2023-11-12,When I open Thunderbird it shows that I have 200 and some odd messages. I have used Thunderbird for years. I have never had any issues until now. We do love the,❓;,👽;other,❓;,❓;,❓;
1430807,2023-11-12,Thunderbird w/Gmail IMAP deleting attachments creates duplicates I want to reduce storage on my GMail account by deleting unneeded attachments.  However when I ,❓;,👽;other,📮;Gmail,❓;,❓;
1430808,2023-11-12,New thunderbird overkill has ruined it. Don't like the look of the new Thunderbird. Just too much of everything.  It's just for sending and receiving emails. No,❓;,👽;other,❓;,❓;,❓;
