id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1431316,2023-11-18,account i am unable to get in my account ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-17 17:21:31 -0800
1431320,2023-11-18,Thunderbird cannot connect to newly installed dovecot server based on Debian 12 I've been using Thunderbird for many years and query emails from a dovecot serve,🐧;Debian;os:linux,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 18:58:28 -0800
1431321,2023-11-18,non ricordo più la password di thunderbird non ricordo più la password di thunderbird ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-11-17 18:58:35 -0800
1431322,2023-11-18,problemi con indirizzo email non ricordo più la password di thunderbird ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 19:01:14 -0800
1431324,2023-11-18,"¿Es posible integrar el Explorador de windows con el de ThunderBird? Hola, en el explorador de Windows tengo una estructura de árbol que tiene su paralelo casi ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 19:11:30 -0800
1431325,2023-11-18,"Bug reports -Every time I start Thunderbird, I see my emails from 2009 at the top instead of auto-scrolling down to the newest. -When opening a MAPI email with ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 19:20:10 -0800
1431331,2023-11-18,"Accidently deleted folders. I emptied a Trash Folder in my Local Folder, and it Deleted ALL my Sub Folders in the Local Folder. Years of saved emails gone. How ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 21:38:27 -0800
1431333,2023-11-18,How to decrease the size of web pages within Thunderbird? I have update few weeks ago to the new version and the layout in the message body is kind of big! like,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-17 21:57:01 -0800
1431334,2023-11-18,"Emails drop down for Inbox folder only? As i have few email account within Thunderbird, the list becomes kind long to scroll when to see the new emails. Is ther",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-17 22:07:20 -0800
1431335,2023-11-18,Enter key deletes emails I'm viewing the list of emails in my inbox and one is highlighted. I press enter and that email is deleted. What I would prefer is for ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-17 22:13:43 -0800
1431336,2023-11-18,Trying to Sign You In/Authentication Error I believe this started with the last Thunderbird update but one of my accounts (I have two that use Microsoft outlook,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-17 22:45:43 -0800
1431340,2023-11-18,Message List Pane too long The new update is a disaster and almost unusable. The biggest problem I have with it is that the Message pane is now reduced to a siz,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-17 23:13:51 -0800
