id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1431669,2023-11-22,"Botón NUEVA TAREA no funciona Buenos días. No puedo crear una nueva tarea. El botón ""+ Nueva Tarea"" aparece visible per no disponible.  Gracias. ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-21 16:18:25 -0800
1431672,2023-11-22,i have used my bank caed to donate unaccepted ---code 700129----mozlia 00136923 why won't your system except my card; the problem is yours ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-21 16:30:48 -0800
1431682,2023-11-22,Gmail IMAP Folder Changed in Supernova Hello. Latest update Supernova (now using 115.5.0 but this happened a few weeks ago) has eliminated the yellow Gmail IMAP,❓;;os:unknown,🔩;customize;t:customize,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-21 21:18:26 -0800
1431683,2023-11-22,"Every log in downloading thousands of emails? Hello, Thunderbird user daily for years. Lately every time I open Thunderbird it starts downloading a random numbe",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🅰;avg;av:avast,❓;;uc:unknown,fix-problems;,2023-11-21 21:20:29 -0800
1431685,2023-11-22,"Outgoing (pre-send) mail filters - how? Hello, how do I set up an outgoing mail filter in Thunderbird that is applied before the email is actually sent? I'm usi",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-21 21:52:52 -0800
1431690,2023-11-22,"supernova supernovA     how do I go back to ""classic"" which works?  the new version has problems all over it ,  I can't move an email to folders as the folders ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-21 22:16:53 -0800
1431695,2023-11-22,My email attachments I receive are encrypted My emails I receive attachments when I open come encrypted and I can not read.  Please help with taking off the enc,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-21 22:42:41 -0800
1431697,2023-11-22,Support recurring tasks from Google Calendar Thunderbird allows me to connect my Google Calendar to TB. But it doesn't allow me to add the new Google Tasks cale,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-11-21 22:55:01 -0800
1431698,2023-11-22,"Add link to Google Maps for addresses in events in the calendar Would it kill ya to add a simple link to Google Maps (or even other map sites), if a calendar ev",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-11-21 22:59:55 -0800
1431699,2023-11-22,"Thunderbird: A missing email account & folders Back in 2016, via GoDaddy I set up a personal domain.  As part of the package, they offered to host two email add",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;GoDaddy;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-21 23:01:59 -0800
