id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1432692,2023-12-02,"Thunderbird Primary Password Help Hi there,  My grandmother on this account keeps receiving a enter primary password alert on her Thunderbird / Bigpond account.",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,fix-problems;,2023-12-01 17:59:16 -0800
1432693,2023-12-02,Unable to install addons in Thunderbird 115 Thunderbird 115.0 on Linux/Debian is unable to verify and install addons from website. It just freezes when I try - ,🐧;Linux;os:linux,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-01 18:27:20 -0800
1432695,2023-12-02,"overi-ride yahoo spam filter pls include code to move all remote server spam content to its inbox [not spam] so thunderbird can do the filtering, and i don't ha",❓;;os:unknown,🔩;customize;t:customize,🇾;yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-01 20:37:32 -0800
1432698,2023-12-02,When I click (compose) 'New Message' the new message window auto minimizes to the Task Bar I have a new installation of Thunderbird Supernova and when I click (,🪟;Windows 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-01 21:50:24 -0800
1432702,2023-12-02,Thunderbird crashes on startup Since two days Thunderbird crashes on startup. I even removed all (incl. Library Files) files from my laptop and reinstalled Thun,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 00:39:42 -0800
1432703,2023-12-02,"Thunderbird hangs, when trying to add a hyperlink to a graphic When I try to add a hyperlink to a picture, then the editor freezes. I think this happend since a",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 00:44:02 -0800
1432704,2023-12-02,Since the new edition was launched when going to look at newly in emails they do not always instantly go from bold to non bold. Sometimes I have to right click ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 00:58:15 -0800
1432707,2023-12-02,lokal folderlar kayboldu Thunderbird sürüm yükseltince lokal folderlar kayboldu. binlerce mailim kayboldu . bilgisayarıma indirdiğim mailleri nasıl kurtarabilir,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 01:33:58 -0800
1432709,2023-12-02,"e-mail Just recently when I open an e-mail I get multiple threads, how do I turn this facility off so I only view messages individually from a particular e-mail",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 02:18:39 -0800
1432711,2023-12-02,"Mail Address Auto Suggestion I have recently set up and started using Thunderbird with all four of my email accounts. However, when composing an email in the ""T",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 03:05:33 -0800
1432712,2023-12-02,"küldés ikon vesztése félkövér szöveg Eltünt a küldés ikon ezért nem tudok üzenetet kűldeni, kérek segítséget: tisztelettel: Andrási Lőrinc ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 03:32:04 -0800
1432714,2023-12-02,"Gmail account won't save when added Hi, I'm having a issue with the current Thunderbird not saving my Gmail account when added. So, I add it, when I close Thund",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 03:42:05 -0800
1432720,2023-12-02,Need help I have missing folders in moved directory I had an issue with one of my domain emails hosted at ionos so I removed one of my domain accounts and reins,❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-02 05:56:59 -0800
1432724,2023-12-02,"Emails using Thunderbird won't 'Send.' Since October 18, 2023, emails using Thunderbird will not 'Send.'  My nephew, who is very good at technology since that's",❓;;os:unknown,👽;other;t:other,💌;Spectrum;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 06:14:50 -0800
1432727,2023-12-02,Can't get my old Profile to work I have a new installation of Windows and want to get my old Profile attached to my new installation of Thunderbird.  In the pas,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-02 06:30:57 -0800
1432728,2023-12-02,"How to restore Thunderbird? Earlier this week, when Thunderbird updated, I lost access to Thunderbird on my PC.  The program is not on my PC.  However, I can st",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-02 06:46:10 -0800
