id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1432776,2023-12-03,Automatic Threading of messages is potentially damaging. We need to be able to turn this off. I've just now noticed the Threading automatic default grouping/mar,🪟;windows-7;os:win7,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,windows-7;desktop;customize;firefox-11550;firefox-1155;,2023-12-02 16:44:05 -0800
1432781,2023-12-03,"Have been using thunderbird for my emails for years, but can not add three email accounts that used to be here but can't add now. HELP. Can't add three existing",❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 18:22:09 -0800
1432783,2023-12-03,Can not send emails I have used Thunderbird for 20 years but suddenly my emails will not send. I have tried all outgoing server settings options as per informat,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 18:50:28 -0800
1432784,2023-12-03,Thunderbird v115 destroys emails Thunderbird 115   destroyed   existing emails in several accounts !!!! Compacting folders removes emails Deleting emails leaves,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 19:10:17 -0800
1432788,2023-12-03,Google Workspace vs Office 365 for Thunderbird I manage IT for a small org (10 users) where we currently use thunderbird with email services provided by a websi,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-02 20:08:34 -0800
1432791,2023-12-03,Copy a profile so two profiles cam run on one machine from time to time When my partner and I travel we take one laptop for work. We both independently use thun,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 22:16:48 -0800
1432792,2023-12-03,Version 115.5.1 (64-bit) update: All emails vanished but show correct number of emails Running Thunderbird 115.5.1 (64-bit) on MacOS Sonoma 14.1.2 (both are the,🍎;Sonoma;os:macos,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 22:51:53 -0800
1432795,2023-12-03,Cannot sent emails but can receive emails with Thuderbird (Office365) I can receive emails but I cannot send emails with Thunderbird. When I try to send an emai,❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,🇩;Defender;av:defender,❓;;uc:unknown,other;,2023-12-02 23:48:55 -0800
1432799,2023-12-03,"Highlighted message has changed when returning to local folder After reading the most recent message in a/any folder, if I switch to a different folder and then",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 01:24:52 -0800
1432809,2023-12-03,Thunderbird automatically sets a 30 minute remainder even when I select 'No Remainder when creating an event in Google calender. I have Thunderbird version 115.,🪟;Windows 11;os:win11,📅;calendar;t:calendar,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-12-03 05:21:47 -0800
1432810,2023-12-03,per fare bonifico SEPA mi serve IBAN grazie mi serve IBAN x bonifico SEPA in grassetto ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 05:32:51 -0800
1432815,2023-12-03,Lost 2 e-mail addresses. Several APPS disapppeared. I would like to restore/recover them. I had a similar problem with Thunderbird not accepting gmail addresses,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 07:27:50 -0800
1432819,2023-12-03,Not getting gmails I am using Thunderbird for emails. I get email messages from everyone EXCEPT those who have gmail accounts. How can I start receiving those g,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 07:42:30 -0800
1432820,2023-12-03,Sync Outlook iCloud calendar with Thunderbird I posted a question to the help community but I don't know where to see if anyone responded. The question had to d,🪟;Windows 11;os:win11,📅;calendar;t:calendar,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-12-03 07:43:36 -0800
1432821,2023-12-03,"Gmail account login prompt I had two gmail accounts in Thunderbird.  Since the upgrade one of them keeps prompting me to log into the account.  When I try, I ge",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 07:58:37 -0800
1432823,2023-12-03,"no access to emails for 2weeks lost all my thunderbird p/words  on the last windows 10 update, was 7 before ! ",🪟;windows 10;os:win10,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-12-03 08:07:03 -0800
1432824,2023-12-03,"no access to emails for 2weeks lost all my thunderbird p/words  on the last windows 10 update, was 7 before ! ",🪟;windows 10;os:win10,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-12-03 08:10:03 -0800
1432827,2023-12-03,Thunderbird Constantly Stopping. Have to restart to get it working.  (win10) Over the past two weeks Thunderbird has been constantly stopping without any notifi,🪟;win10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-03 09:06:47 -0800
1432828,2023-12-03,"Restore Trash file Hello, I'll put you in context. I have a company email account in Thunderbird configured on IMAP on my PC and all my emails have been there f",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 09:13:01 -0800
1432830,2023-12-03,Thunderbird downloading all 32000+ emails from yandex server Using Ubuntu 22.04. I was having trouble with thunderbird email so I purged it. Created new IMAP ac,🐧;Ubuntu;os:linux,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 09:17:11 -0800
1432833,2023-12-03,"On Winddows 10, I'm unable to set the color of my text to ""default"". I have my Windows theme set to dark, so the fact a lot of people like to send emails where ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-03 09:33:26 -0800
