id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1627338,1435268,2023-12-30 06:03:22 -0800,2023-12-30 06:03:22 -0800,"<p>Hello, Not sure if this helps, but a similar topic was discussed here: <a href=""https://support.mozilla.org/en-US/questions/1353760"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1353760</a> </p>",shopov.bogomil,false,0,0
1627283,1435269,2023-12-29 19:34:01 -0800,2023-12-29 19:34:01 -0800,"<p>OWL <a href=""https://addons.thunderbird.net/en-US/thunderbird/addon/owl-for-exchange/"" rel=""nofollow"">https://addons.thunderbird.net/en-US/thunderbird/addon/owl-for-exchange/</a> </p>",MattAuSupport,false,0,0
1627301,1435269,2023-12-29 20:56:44 -0800,2023-12-29 20:56:44 -0800,"<p>I just stumbled upon this on a Microsoft site. <a href=""https://support.microsoft.com/en-us/office/pop-imap-and-smtp-settings-for-outlook-com-d088b986-291d-42b8-9564-9c414e2aa040"" rel=""nofollow"">https://support.microsoft.com/en-us/office/pop-imap-and-smtp-settings-for-outlook-com-d088b986-291d-42b8-9564-9c414e2aa040</a> </p><p>If you're using a GoDaddy account, follow these instructions to reconfigure your GoDaddy account to use POP. If using POP doesn't resolve your issue, or you need to have IMAP enabled (it's disabled by default), contact GoDaddy support. </p><p>The links did not copy and paste here,  hence I posted the link to the original page. </p>",MattAuSupport,false,0,0
1627285,1435272,2023-12-29 19:48:41 -0800,2023-12-29 19:48:41 -0800,"<p>This is the part that most folk to not appear to get.  IMAP is not a file system and moving more than a few mails between accounts is almost always going to fail in some way.  You are lucky,  it just goes slow.  Most people end up with lost mail, corrupt mail or just unexplained connection dropouts because their mail server is busy in the background with other things don't work like getting new mail. </p><p>The process itself is top heavy with each mail to be moved checked with the server to ensure it is the latest copy.  This is slow enough,  but most folk then have an antivirus program scanning each and every one of those downloads to make sure it has not virus. </p><p>Then the process is repeated to upload the same mail and it is again scanned to make sure things go slowly. </p><p>Additionally recent releases of Thunderbird have gone from asking for the 100 selected mails to be processed in a single trip to asking for each being processed to completion individually as far to much mail was being lost in the bulk updates with quiet but fatal timeouts and cache failures etc, individual errors were oft times just not reported. So Thunderbird is now more exact and more reliable,  but also slower in performing the action.  This is not really considered a big deal as moving more that a couple of emails from account to account is also a fairly rare event,  except for those trying to update an account from one provider to another without using server side tools.  Those folk are also rarely long term users,  often downloading the application transferring their mail and then removing it. </p>",MattAuSupport,false,0,0
1627576,1435272,2023-12-31 16:06:48 -0800,2023-12-31 16:06:48 -0800,"<p>Thanks for your response. Actually, I'm very familiar with IMAP. I've also used a variety of email clients. Outlook, for example, moves dozens of messages between accounts without issue, and in a reasonable timeframe. Regardless of the specific comparison, to say that the occurrence of this action is not common and to discount the essentially crippling behaviour of Thunderbird for this activity does not serve the Thunderbird cause well. If other clients can do this reasonably well, so should Thunderbird. As a Software Engineer, I understand how such things may be challenging, but they are solvable if one is inclined to take the problem seriously and be thorough in analysis and resolution with performance a key component of the solution. I urge the Thunderbird developers to address this specifically and make it as efficient as it can be. Thanks. </p>",jeronymite,false,0,0
1627592,1435272,2023-12-31 19:43:10 -0800,2023-12-31 19:43:10 -0800,"<p>I suggest you take the discussion to Bugzilla,  I am just pleased the change stopped folk loosing significant amount of mail.  Personally I simply do not use IMAP to any extent.  I use POP for all mail that I consider valuable enough to backup.   </p><p>I have not interest in how Outlook performs as the source is closed and so are the bug lists. Microsoft may well have the cavalier attitude Thunderbird had,  you just loose some mail after the first thousand or so. Tough. </p><p>Have look at these bugs and those they block and are dependant on to get some idea of the curent state of play.  <a href=""https://bugzilla.mozilla.org/show_bug.cgi?id=1828372"" rel=""nofollow"">https://bugzilla.mozilla.org/show_bug.cgi?id=1828372</a> and  <a href=""https://bugzilla.mozilla.org/show_bug.cgi?id=538375"" rel=""nofollow"">https://bugzilla.mozilla.org/show_bug.cgi?id=538375</a> </p><p>You might even want to file your own bug.  As a developer you will be aware you need exacting detail so a developer can reproduce the issue an therefore test a fix. </p>",MattAuSupport,false,1,0
1627611,1435272,2023-12-31 23:28:08 -0800,2023-12-31 23:28:08 -0800,<p>Thanks. I appreciate the constructive comments. </p>,jeronymite,false,0,0
1627653,1435272,2024-01-01 06:14:38 -0800,2024-01-01 06:14:38 -0800,"<p>Does this affect a specific mail provider?  If so, which one? </p>",wsmwk,false,0,0
1627315,1435280,2023-12-30 00:06:26 -0800,2023-12-30 00:06:26 -0800,"<p>right click the folder, select properties and then the repair button. </p><p>Perhaps consider an exclusion in your antivirus to stop is scanning in your Thunderbird profile folder while the program is running to prevent future issues. </p>",MattAuSupport,false,1,1
1628549,1435280,2024-01-05 14:46:48 -0800,2024-01-05 14:46:48 -0800,"<p>The repair option did work on my main inbox, but it does not work on other folders that have lost their TOCs (msf files). </p><p>I am attaching a screen grab showing that the mailbox ""Uptown-2020"" seems to contain only one email, with size over 300 meg.  In fact it contains over 1,800 emails, but none of them are indexed here. </p><p>That is a new box containing only the emails from 2020 on that were in the ""Uptown"" mailbox.  You can see in the attached screen grab that that mailbox also has a ruined TOC.  That one should go back over a dozen years, and contains many historically valuable messages.  Neither of these mailboxes is repaired by doing the easy fix (right-click --&gt; properties --&gt; repair folder). </p>",mctangora,false,0,0
