yyyy_mm_dd,count
2023-04-01,18
2023-04-02,19
2023-04-03,23
2023-04-04,29
2023-04-05,34
2023-04-06,26
2023-04-07,27
2023-04-08,19
2023-04-09,10
2023-04-10,16
2023-04-11,29
2023-04-12,46
2023-04-13,52
2023-04-14,32
2023-04-15,16
2023-04-16,22
2023-04-17,28
2023-04-18,31
2023-04-19,42
2023-04-20,20
2023-04-21,32
2023-04-22,16
2023-04-23,17
2023-04-24,26
2023-04-25,29
2023-04-26,27
2023-04-27,22
2023-04-28,29
2023-04-29,17
2023-04-30,12
2023-05-01,22
2023-05-02,31
2023-05-03,23
2023-05-04,21
2023-05-05,26
2023-05-06,13
2023-05-07,10
2023-05-08,22
2023-05-09,29
2023-05-10,32
2023-05-11,29
2023-05-12,17
2023-05-13,23
2023-05-14,19
2023-05-15,31
2023-05-16,24
2023-05-17,18
2023-05-18,33
2023-05-19,19
2023-05-20,12
2023-05-21,12
2023-05-22,41
2023-05-23,26
2023-05-24,38
2023-05-25,25
2023-05-26,29
2023-05-27,12
2023-05-28,14
2023-05-29,26
2023-05-30,33
2023-05-31,38
2023-06-01,42
2023-06-02,30
2023-06-03,25
2023-06-04,17
2023-06-05,33
2023-06-06,28
2023-06-07,28
2023-06-08,33
2023-06-09,35
2023-06-10,18
2023-06-11,18
2023-06-12,22
2023-06-13,25
2023-06-14,28
2023-06-15,27
2023-06-16,34
2023-06-17,20
2023-06-18,13
2023-06-19,33
2023-06-20,18
2023-06-21,24
2023-06-22,23
2023-06-23,28
2023-06-24,12
2023-06-25,10
2023-06-26,25
2023-06-27,25
2023-06-28,24
2023-06-29,21
2023-06-30,26
2023-07-01,12
2023-07-02,16
2023-07-03,25
2023-07-04,25
2023-07-05,33
2023-07-06,27
2023-07-07,18
2023-07-08,12
2023-07-09,23
2023-07-10,36
2023-07-11,31
2023-07-12,43
2023-07-13,40
2023-07-14,37
2023-07-15,19
2023-07-16,21
2023-07-17,39
2023-07-18,51
2023-07-19,42
2023-07-20,51
2023-07-21,37
2023-07-22,20
2023-07-23,13
2023-07-24,34
2023-07-25,48
2023-07-26,46
2023-07-27,38
2023-07-28,38
2023-07-29,21
2023-07-30,20
2023-07-31,35
2023-08-01,35
2023-08-02,38
2023-08-03,34
2023-08-04,30
2023-08-05,17
2023-08-06,23
2023-08-07,34
2023-08-08,35
2023-08-09,43
2023-08-10,37
2023-08-11,42
2023-08-12,23
2023-08-13,18
2023-08-14,30
2023-08-15,33
2023-08-16,30
2023-08-17,27
2023-08-18,20
2023-08-19,18
2023-08-20,20
2023-08-21,26
2023-08-22,28
2023-08-23,39
2023-08-24,25
2023-08-25,29
2023-08-26,19
2023-08-27,13
2023-08-28,42
2023-08-29,35
2023-08-30,40
2023-08-31,33
2023-09-01,41
2023-09-02,28
2023-09-03,23
2023-09-04,24
2023-09-05,28
2023-09-06,32
2023-09-07,34
2023-09-08,31
2023-09-09,36
2023-09-10,34
2023-09-11,37
2023-09-12,51
2023-09-13,55
2023-09-14,51
2023-09-15,56
2023-09-16,60
2023-09-17,39
2023-09-18,80
2023-09-19,76
2023-09-20,49
2023-09-21,43
2023-09-22,46
2023-09-23,33
2023-09-24,21
2023-09-25,41
2023-09-26,36
2023-09-27,68
2023-09-28,62
2023-09-29,65
2023-09-30,52
2023-10-01,42
2023-10-02,73
2023-10-03,106
2023-10-04,107
2023-10-05,93
2023-10-06,88
2023-10-07,66
2023-10-08,47
2023-10-09,73
2023-10-10,71
2023-10-11,94
2023-10-12,76
2023-10-13,69
2023-10-14,55
2023-10-15,39
2023-10-16,70
2023-10-17,74
2023-10-18,61
2023-10-19,70
2023-10-20,57
2023-10-21,49
2023-10-22,30
2023-10-23,55
2023-10-24,50
2023-10-25,56
2023-10-26,59
2023-10-27,61
2023-10-28,40
2023-10-29,35
2023-10-30,68
2023-10-31,51
2023-11-01,53
2023-11-02,49
2023-11-03,54
2023-11-04,33
2023-11-05,34
2023-11-06,48
2023-11-07,64
2023-11-08,58
2023-11-09,51
2023-11-10,55
2023-11-11,23
2023-11-12,25
2023-11-13,47
2023-11-14,50
2023-11-15,48
2023-11-16,58
2023-11-17,42
2023-11-18,32
2023-11-19,28
2023-11-20,53
2023-11-21,45
2023-11-22,32
2023-11-23,40
2023-11-24,44
2023-11-25,26
2023-11-26,19
2023-11-27,51
2023-11-28,30
2023-11-29,55
2023-11-30,58
2023-12-01,47
2023-12-02,37
2023-12-03,28
2023-12-04,47
2023-12-05,52
2023-12-06,39
2023-12-07,50
2023-12-08,36
2023-12-09,22
