date,num_questions,os:win,os:win7,os:win8,os:win10,os:win11,os:macos,os:linux,os:unknown,m:unknown,t:unknown,av:unknown,uc:unknown,t:fix_problems,t:calendar,t:download_and_install,t:privacy_and_security,t:customize,t:other,uc:unsupported_customization,av:kaspersky,av:bitdefender,av:avast,av:avira,av:zonealarm,av:comodo,av:eset,av:fsecure,av:malwarebytes,av:mcafee,av:norton,av:sophos,av:trendmicro,av:defender,m:gmail,m:microsoftemail,m:protonmail,m:fastmail,m:yahooemail,m:mailfence
2023-04-01,18,4,0,0,4,0,0,0,14,13,0,17,18,5,2,0,1,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0
2023-04-02,19,1,0,0,1,0,1,1,16,13,0,19,19,2,3,3,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
2023-04-03,23,0,0,0,0,0,0,3,20,22,0,23,23,4,4,3,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-04-04,29,5,0,0,5,0,0,0,24,24,0,27,29,6,2,5,0,3,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0
2023-04-05,34,6,3,0,3,0,0,1,27,25,0,32,34,9,1,6,0,5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,0,0,0,0
2023-04-06,26,4,0,0,4,0,0,1,21,22,0,25,26,6,2,0,2,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0
2023-04-07,27,2,0,0,1,1,2,1,22,20,0,27,27,3,2,3,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0
2023-04-08,19,2,1,0,1,0,0,1,16,12,0,18,19,5,0,1,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0
2023-04-09,10,2,0,0,2,0,0,0,8,7,0,10,10,0,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2023-04-10,16,1,1,0,0,0,1,2,12,12,0,16,16,1,0,5,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2023-04-11,29,5,2,0,1,2,1,3,20,16,0,28,29,7,1,5,0,2,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,0,0,1,0
2023-04-12,23,3,0,0,1,2,2,2,16,15,1,21,23,6,0,3,0,1,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,2,0
2023-04-13,26,1,0,0,0,1,0,3,22,24,0,23,26,7,0,2,3,3,11,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
