id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1409751,2023-04-01,Thunderbird suddenly stopped working and will no longer load successfully Thursday both Thunderbird and Fire fox suddenly stopped working with a message that th,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-03-31 21:57:41 -0700
1409754,2023-04-01,"Managing Sender Identity from Different SMTP or Standalone Sender Identity without Inbox Hello, I want to make an email with two sender identity from different ",🪟;Windows 10;os:win10,🔩;customize;t:customize,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-01 01:08:31 -0700
1409756,2023-04-01,Import IMAP server certificate I have a IMAP server with a self signed certificate. How do I import the certificate as an exception? I've obviously done it once,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-04-01 02:14:42 -0700
1409757,2023-04-01,Can't send emails while connecting with Surfshark VPN. Just spent 1 and half hours with Surfshark online support to troubleshoot why I can't send emails while c,🪟;Windows 10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-01 02:18:38 -0700
1409759,2023-04-01,"I deleted my emails between 2017 - 2019 by mistake, I found file : uq4n2zn3.default file, I opened the sent in this file and it is encode base64. I'm I in the r",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-01 03:18:10 -0700
1409760,2023-04-01,"Will Thunderbird work for my situation? My wife has a Hotmail account, which is now stating storage limit exceeded.  1) Is it correct that Thunderbird store ema",❓;;os:unknown,👽;other;t:other,💌;Hotmail;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-01 03:22:32 -0700
1409762,2023-04-01,"Calendar not synchronizing anymore Hi,  For a couple of weeks the synchronizing of my calendar in Thunderbird between my two devices seems broken.  - I don't kn",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-04-01 03:52:35 -0700
1409768,2023-04-01,"New Message Counter Bugged since coulple of releases Hi there, since a couple of releases since I installed thunderbird on my MacBook, I got the problem that th",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-01 06:01:47 -0700
1409771,2023-04-01,"Borré accidentalmente algunos correos de mi carpeta de ""enviados"" en Thunderbird, y no los encuentro en la ""papelera"". Hola, dónde puedo recuperar un correo env",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-01 06:48:40 -0700
1409773,2023-04-01,how do I add local holidars to my calendar? Please help I want to add UK holidays - how do I do that? ,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-04-01 07:16:08 -0700
1409783,2023-04-01,thunderbird email problem I am troubleshooting for a friend who is running Thunderbird 102.9.1. He is using Thunderbird with an email account on cinci.rr.com ma,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,Ⓜ;McAfee;av:mcafee,❓;;uc:unknown,other;,2023-04-01 08:47:53 -0700
1409787,2023-04-01,filters sending everything to Junk folder I'm at quite a loss about filters. I've used TBird for decades but this was never as important as it has become. Anywa,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-04-01 10:18:08 -0700
1409791,2023-04-01,"Thunderbird Beta Question - Bug or Setting? I didn't see a Thunderbird Beta forum, so please point me to the right place if this isn't correct. I am currently r",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;tbbetasn;,2023-04-01 11:40:18 -0700
1409792,2023-04-01,"Thunderbird eMail corruption, can a single email be synched instead of Repair the whole Inbox Hi Wishing you are doing Great. Is there an option to Repair only ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-01 11:46:18 -0700
1409794,2023-04-01,Thunderbird seems to delete an image from messages I forward.  How do I stop that? Thunderbird seems to delete an image from messages I forward.  How do I stop ,🪟;windows-10;os:win10,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,desktop;customize;windows-10;firefox-1110;,2023-04-01 12:37:19 -0700
1409796,2023-04-01,"Mar 21 - Apr 1, I had a working Thunderbird account. 3/30 or 3/31 the account blew up. I downloaded an earlier version but it won't work. I can't create a new a",❓;;os:unknown,👽;other;t:other,💌;Spectrum;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-01 12:48:30 -0700
1409804,2023-04-01,"unified inbox broken First of all, I am using Windows 10 and IMAP and I do have the latest updates. After latest update, if I click on Inbox, it shows no emails",🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-01 14:36:43 -0700
1409807,2023-04-01,Thunderbird I'm a long-time user of T-bird. Current version 102.9.1(32 bit). About 2 months ago T-bird stopped bringing in all the e-mails from my local provide,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-01 15:08:48 -0700
