id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful,link
1590031,1418039,2023-07-11 17:10:37 -0700,2023-07-11 17:10:37 -0700,<p>thank you for help. sussed out in end what was stopping it working is that I have AVG antivirus and the mail sheild was stopping it. I temporarily stopped that and then like magic Gmail all worked as it should in thunderbird.  cheers. </p>,andy_from_ireland,false,0,0,https://support.mozilla.org/questions/1590031
1589997,1418039,2023-07-11 13:15:08 -0700,2023-07-11 13:15:08 -0700,"<p>Gmail does not allow the web password to be used on a PC. So, is that the correct password? Only if it is the one that Google generated for you. </p>",davidsk,false,0,0,https://support.mozilla.org/questions/1589997
1589936,1418039,2023-07-11 07:33:44 -0700,2023-07-11 07:33:44 -0700,<p>Be sure to OMIT the password and include your full email id. </p>,davidsk,false,0,0,https://support.mozilla.org/questions/1589936
1589921,1418039,2023-07-11 05:46:29 -0700,2023-07-11 05:46:29 -0700,<p>here is the message I am getting in Thunderbird when i try to set it up and I am using the correct gmail password </p>,andy_from_ireland,false,0,0,https://support.mozilla.org/questions/1589921
1589919,1418039,2023-07-11 05:42:51 -0700,2023-07-11 13:12:58 -0700,"<p>here is the message I am getting in thunderbird and I am using the correct password </p><p><a href=""https://assets-prod.sumo.prod.webservices.mozgcp.net/media/uploads/images/2023-07-11-05-42-46-b8bd28.png"" rel=""nofollow"">https://assets-prod.sumo.prod.webservices.mozgcp.net/media/uploads/images/2023-07-11-05-42-46-b8bd28.png</a> </p>",andy_from_ireland,false,0,0,https://support.mozilla.org/questions/1589919
1592269,1418043,2023-07-22 20:20:34 -0700,2023-07-22 20:20:34 -0700,"<p>Ok, that did it! Thanks so much for your help, I really appreciate it </p>",laughinghorse,false,0,0,https://support.mozilla.org/questions/1592269
1592172,1418043,2023-07-22 07:09:08 -0700,2023-07-22 07:09:08 -0700,"<p>Thunderbird gets it's time and date from the computer settings. So I think something is not set up correctly. </p><p>I did locate this question where someone had wrong date applied to all emails like you. They were checking the Language &amp;  Region and specifically the formatting of date. <a href=""https://support.mozilla.org/en-US/questions/1153644"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1153644</a> </p><p>So have another look on computer - something is not set up correctly for apps when it comes to format of date. Maybe this link will be of help. Please work through these particular settings making sure they are set up correctly. <a href=""https://support.apple.com/en-gb/guide/mac-help/mh27073/mac"" rel=""nofollow"">https://support.apple.com/en-gb/guide/mac-help/mh27073/mac</a> <em>Change how dates, times and more display on Mac</em> <em>You can change the formats used to display dates, times, numbers and currencies in Finder windows and apps, such as Mail.</em> </p>",Toad-Hall,false,1,0,https://support.mozilla.org/questions/1592172
1592167,1418043,2023-07-22 05:43:56 -0700,2023-07-22 05:43:56 -0700,"<p>Thank you Toad-Hall. </p><p>I deleted Thunderbird and the profile folder from my macbook, re-installed TB English (US) from the link you provided, copied my profile folder from my old laptop, and double checked my computer clock/timezone settings. As before, thunderbird is showing the year as 1402 on my emails. The issue persists in troubleshoot mode as well. </p>",laughinghorse,false,0,0,https://support.mozilla.org/questions/1592167
1591072,1418043,2023-07-17 07:59:57 -0700,2023-07-17 07:59:57 -0700,"<p>Did you download and install an English (US) version of Thunderbird?  <a href=""https://www.thunderbird.net/en-US/thunderbird/all/#E"" rel=""nofollow"">https://www.thunderbird.net/en-US/thunderbird/all/#E</a> </p><p>Did you install any language packs&nbsp;? </p><p>Is the computer Timezone set up correctly? Exit Thunderbird first. Please check computer Timezone as it should be for America New York - assuming that is your location. EDT — Eastern Daylight Time <a href=""https://www.timeanddate.com/time/zone/usa/new-york"" rel=""nofollow"">https://www.timeanddate.com/time/zone/usa/new-york</a> </p><p><br> I note you have a 'Send Later' in the headers. Once you have checked Timezone is correct and restarted Thunderbird and same issue is still occuring, test to see if same problem when starting Thunderbird in Trouble shoot mode. Help &gt; Troubleshoot Mode select Continue in Troubleshoot Mode. </p><p>Report on result. </p>",Toad-Hall,false,0,0,https://support.mozilla.org/questions/1591072
1591003,1418043,2023-07-16 19:03:10 -0700,2023-07-16 19:03:10 -0700,"<p>Thank you for the suggestion, Matt. I tried it and unfortunately it didn't fix the issue. If you have any other suggestions please let me know. </p>",laughinghorse,false,0,0,https://support.mozilla.org/questions/1591003
1590466,1418043,2023-07-13 20:22:43 -0700,2023-07-13 20:22:43 -0700,"<p>Not saying this will help,  but it might. Right click the folder, select properties and then the repair button.  That regenerates the index file used to populate the lists,  it might clear any corruption or oddities from the transfer from your old computer.  This is especially so if the old one was set to a different locale </p>",MattAuSupport,false,0,0,https://support.mozilla.org/questions/1590466
1590296,1418043,2023-07-13 05:34:51 -0700,2023-07-13 05:34:51 -0700,"<p>Ok, the date formatting was showing me only two options, and both were wrong. It was allowing me to choose English (UK) or Engish (Afghanistan). I was able to add English (US) from the language menu below and then after I restared Thunderbird it gave me the option to choose English (US) for the application locale under Date and Time Formatting. Unfortunately, that didn't fix the issue with the dates showing incorrectly for emails. </p>",laughinghorse,false,0,0,https://support.mozilla.org/questions/1590296
1590293,1418043,2023-07-13 05:23:32 -0700,2023-07-13 05:23:32 -0700,"<p>Okay, this is new ground for me and may prove nothing, but try the settings&gt;general and experiment with the date formatting. It may be that this is incorrect. </p>",davidsk,false,0,0,https://support.mozilla.org/questions/1590293
1590291,1418043,2023-07-13 05:21:09 -0700,2023-07-13 05:21:09 -0700,"<p>Thanks for your reply, David. I'm on a mac and the date settings seem to be correct. The correct date is showing in other apps as well as in settings and on the menu bar. It's even showing correctly within Thunderbird settings (screenshot below). It's just showing all my email with incorrect dates and times. any thoughts on what else to try? </p>",laughinghorse,false,0,0,https://support.mozilla.org/questions/1590291
