id,created,updated,title,content,tags,product,topic,locale,answers,creator
1419943,2023-08-01 15:29:34 -0700,2023-08-02 00:58:59 -0700,Adding email account downloading all the emails,"<p>I just downloaded thunderbird onto my new computer for the first time and it is trying to i guess download all of the previous emails, the only problem is that it does it in stages so I have to keep closing the app and reopening. Is there an easier way to do this? </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1594474;,ajcole6508
1419941,2023-08-01 14:56:28 -0700,2023-08-08 14:32:43 -0700,Moving select subfolders to a new thunderbird client on a new computer,"<p>Hi - I need to move two subfolders in my inbox to a new thunderbird setup on a new laptop.  I do not need to move all data/profile, only the two subfolders. </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1595876;1596326;1596332;,mattbvt
1419937,2023-08-01 14:16:50 -0700,2023-08-02 01:00:44 -0700,Password change,"<p>I use Thunderbird to download my emails from a Spectrum webmail account. Due to a suspected hack, I wanted to change the login password for my webmail account. Having done that, I now need to update my Thunderbird information so that it can log into my Spectrum webmail. I can't find the procedure that lets me do that. </p>",privacy-and-security_1;,thunderbird,privacy-and-security-settings,en-US,1594475;,dcbruce
1419933,2023-08-01 13:48:55 -0700,2023-08-05 18:04:17 -0700,Mail Addresses in Thunderbird,"<p>When an email composed and sent in Thunderbird addresses multiple recipients, does each recipient get an email with its email address in the To: field?  Do the other email addresses also get the addresses of the other recipients? </p>",other;,thunderbird,other,en-US,1594563;1595445;1595516;,rabbithutch1
1419928,2023-08-01 13:30:48 -0700,2023-08-07 15:33:46 -0700,"After migrating to the new version on windows 11 thunderbird freezes, with huge consumption of memory and processor resources","<p>I need some further assistance please. My new thunderbird installation does not want to function. The historical emails are quite large but archived annually.  </p><p>I find that after about 20 - 30 seconds, it freezes. I have tried all the options, safe mode, extensions removal, delete of .msf files, but nothing. Any pointer to where I should look please </p>",fix-problems;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,1594377;1594478;1595247;1595905;1596012;1596062;,wavdwesthuizen
1419926,2023-08-01 12:35:26 -0700,2023-08-02 03:58:19 -0700,Many forwarded emails to one email - any way to open them at different times?,"<p>Hey! Question about thunderbird (but if it can be done on a different email app I'm with it) Inheriting an inbox which has thousands of emails being forwarded to one address Don't want to mark all as read at once, is there a way of adding each address to different boxes so I can open and deal with them one at a time? (and, so the ""email opened"" can ping as I go through them, not in one instant) Thanks! </p>",customize;needsinfo;,thunderbird,customize-controls-options-and-add-ons,en-US,1594360;1594364;1594504;,heymysteryman
1419925,2023-08-01 12:29:12 -0700,2023-08-01 12:48:43 -0700,erase emails,<p>how to erase emails on Thunderbird </p>,other;,thunderbird,other,en-US,1594366;,bsarnold817
1419924,2023-08-01 12:26:42 -0700,2023-08-03 09:03:42 -0700,need new email address to use with Thunderbird,"<p>We have used Thunderbird as an email HANDLER with our Windstream addresses. Now, we need two new addresses. The GMX site has a glitch. When I looked for other free email providers, Thunderbird popped up. I have always thought that Thunderbird was a handler only. I love the filing system. I want to keep using it. I am wondering why Thunderbird was presenting itself as an email provider and not just a handler. </p><p>Our local computer guy said to stay away from Yahoo and Hotmail, but that he knew nothing about others. We need something new to us we can start using with Thunderbird while saving our 17 GB of old messages saved in Thunderbird. Yes, I do run a backup occasionally. </p>",other;,thunderbird,other,en-US,1594361;1594398;1594745;1594751;1594773;1594776;,EastTenn
1419922,2023-08-01 11:26:36 -0700,2023-08-01 11:57:06 -0700,Thunderbirdc version 115.0.1. Lost capability  to download individual account e-mail. Only capable to download all accounts,<p>The new version of Thunderbird (115.0.1) does not have the option to select an individual accounts E-Mail. Previous versions had a down arrow next to the (GET MESSAGES) so you could download individual accounts  E-Mail. This version does not have this capability. I have been using Thunderbird for about 15 years. This option was always there. Please put it back. </p>,other;,thunderbird,other,en-US,1594352;,Barry11
1419920,2023-08-01 11:22:08 -0700,2023-08-01 11:22:08 -0700,Enviar Todo,<p>Es posible enviar todos los mensajes en cola de una sola vez sin la necesidad de presionar CTRL+ENTER en cada mensaje? A veces tengo tandas de 20 o 25 mensajes/solapas abiertas para enviar y tengo que presionar CTRL+ENTER en cada mensaje. Si tengo 10 tandas de 20 o 25 mensajes se hace muy largo. Un botón/complemento para ENVIAR TODO de una sola vez (como en Outlook) existe? </p>,customize;,thunderbird,customize-controls-options-and-add-ons,es,,pnavarrocba
