id,created,updated,title,content,tags,product,topic,locale,answers,creator
1419027,2023-07-21 16:54:34 -0700,2023-07-22 19:37:48 -0700,Can't Set Up Thunderbird. (Using AOL/Verizon email address.),"<p>I've tried very hard to set up Thunderbird, but am hitting roadblocks.   I'm using an AOL (Verizon) email address. Whatever I do, I get this message: ""Unable to log in at server. Probably wrong configuration, username, or password.""  I am using the password that gets me into my AOL account. Is there another I should be using? People refer to an ""app password."" I'm not sure what that is.  I have too little technical knowledge to adjust the ""configuration."" Any help would be GREATLY appreciated. I've attached a couple of screenshots which may make my problems clearer to someone with more expertise. </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1592085;1592087;1592182;1592208;1592259;1592266;,mdennisburns
1419024,2023-07-21 15:43:17 -0700,2023-07-23 13:18:06 -0700,MSN is now saying that Outlook won't work,"<p>I have to use MSN now for my email server since your software no longer works!!!  I can't send anything through your software now that you ""upgraded"" your TB software without my permission.  Not sure why, but MSN is now saying that Outlook won't work with TB.  So, good luck with that. </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1592096;1592235;1592364;,CGB1
1419023,2023-07-21 15:09:43 -0700,2023-07-22 03:00:45 -0700,Why did you upgrade my software.,"<p>Why did you upgrade my software.  Now I can't send any emails.  What the h did you do, and would you please stop changing the software if it's working!!!!!!  I DIDN'T NEED ANY UPGRADES, IT WAS WORKING JUST FINE!!!! Everything keeps timing out.  F you.  I can't send anything!!!!!!!!!!!1 </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1592144;,CGB1
1419022,2023-07-21 14:41:40 -0700,2023-07-24 00:20:16 -0700,Thunderbird stopped sending emails,"<p>Two days ago Thunderbird no longer would send emails (been using it without problems for 7 years) I have read all the previous posts on this. Tried sending emails after disabling firewall and Malwarebytes without success. I can receive emails sent from my Spectrum email account (still works). I can send emails from my iPhone using the identical Outgoing Server Settings. The settings are in the screenshot. Also downloaded the latest version of Thunderbird today. Didn't fix it. To get around the problem right now is I am composing my emails (IMAP), saving them in my drafts and then sending them from my iPhone.Any ideas? Thank you! </p>",other;,thunderbird,other,en-US,1592097;1592115;1592117;1592166;1592174;1592176;1592177;1592178;1592203;1592463;,lgarner1954
1419021,2023-07-21 14:39:47 -0700,2023-07-21 23:25:50 -0700,Thunderbird displays Hebrew font incorrectly,"<p>Hello! I am running Thunderbird 102 with the Tools &gt; Settings &gt; General &gt; Language &amp; Appearance Default font set to Alef, a Hebrew font on my PC. However, when opening a new Write window and typing in Hebrew, the font displayed is definitely not Alef, even after I select it and set it to Alef. It looks like Times New Roman or Book Antiqua, but I am not sure. I have tried View &gt; Repair Text Encoding but it does not seem to change anything. Any assistance you may care to provide will be appreciated. Thanks! </p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1592099;1592113;,groucho3
1419019,2023-07-21 13:57:39 -0700,2023-07-24 12:36:49 -0700,Thunderbird Address Book,<p>When I click on an entry in the Thunderbird Address Book it opens an Edit box.  Is there a way to close such box without having to change the folder and maybe coming back?  It would be nice to have a X or equivalent to close the Edit! </p>,customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1592181;1592200;1592205;1592578;1592581;1592592;,jawnobre
1419018,2023-07-21 13:57:10 -0700,2023-07-21 16:39:47 -0700,Keyboard shortcut to hide quick filter bar,"<p>In Thunderbird v115, pressing Ctrl+Shift+K (in Windows) displays the Quick Filter bar (if it's not currently visible).  However, the same shortcut does not hide or toggle the display of the Quick Filter bar.  It can be hidden by navigating through the menus to find the option and unchecking it, but it might be more intuitive and convenient to have the same keyboard shortcut toggle the display of the filter bar instead of only displaying it.  Or perhaps a small ""X"" icon at the right edge of the toolbar could be added to allow hiding it using the mouse. </p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1592077;1592079;,swbrains
1419012,2023-07-21 13:16:17 -0700,2023-07-21 13:39:24 -0700,Why are my messages so compact/Can this be changed,"<p>I don't think I can properly explain but I will try.  I just got the latest version of Thunderbird and now the look of the messages in the inbox are very compacted.  In the previous version, the visual look and spacing of the messages in the inbox were more spaced out and easier to read.   </p><p>Is there a way to fix this through a font change or add on?  I can't handle squished messages. </p>",other;tb115;,thunderbird,other,en-US,1592057;1592059;,yelnock
1419007,2023-07-21 12:55:05 -0700,2023-07-21 12:55:05 -0700,Unified Folder not getting new email,"<p>If you have more than one email account in TB (116 beta)  and you also have a Unified Folder for all the accounts, clicking on the little ""cloud"" to get new email does not work. It should get new email for all accounts in the Unified Folder. You have to get new email individually for each account. </p>",other;tb115;,thunderbird,other,en-US,,RHall
1419006,2023-07-21 12:47:29 -0700,2023-07-24 22:54:35 -0700,Thunderbird links have stopped working.,"<p>Links in Thunderbird email no longer work. I have to right click, copy and paste into browser.  I've downloaded and installed ver 115.0.1 64-bit and tried 3 different browsers: Firefox, Edge &amp; Chrome and still the links in Thunderbird don't work.  Email links still work, but none that require a browser. </p>",fix-problems;tb115;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,1592191;1592209;1592591;1592666;1592667;,jimarch
1419005,2023-07-21 12:43:05 -0700,2023-07-24 04:43:03 -0700,TB 115 Customizations,"<p>Re: userchrome.css It appears only part of my userchrome file affects customization in latest release (115).   </p><p>Q: Is there any information on how to do customizations for the following specific items:  1. message pane grid lines, 2. message row alternating colors  3. thickness of all pane splitters?  </p><p>Thanks for any leads.... </p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1592062;1592214;1592356;1592362;1592363;1592365;1592367;1592369;1592371;1592383;1592495;1592496;,brantmercer
1419003,2023-07-21 12:10:48 -0700,2023-07-25 06:10:26 -0700,Cannot forward emails over c. 200K as attachments,"<p>When I try to forward emails over c. 200K, I get the following error message: </p><p>An error occurred while sending mail. The mail server responded:  Line length exceeded. See RFC 2821 #4.5.3.1.. Please check the message and try again. </p><p>I have researched this error, and it seems it comes from a line length in the email code being &gt;999 characters long without a space. Now, I get my messages from Yahoo imported into Thunderbird; I can forward such messages as attachments in Yahoo, but not in Thunderbird. Whatever the issue, is there a way to change, alter, or override the RFC setting so I can send larger attachments as emails without encountering this error? I've seen hints on the Web that it might be doable given this or that add-on or by something called GWAVA, but I can't effect a solution myself. Any help would be appreciated. Thanks, John-&nbsp;:) </p>",other;,thunderbird,other,en-US,1592185;1592189;1592572;1592706;,veryproicelandic
